Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-10-29,Richard,Blumenthal,"US Senator",HOOD,"Robinhood Mark",750000,Sell,"Traded $500,001 to $1,000,000 "
2021-10-29,Trey,Hollingsworth,"US Congressman",EPD,"Enterprise Pro",175000,Buy,"Traded $100,001 to $250,000 "
2021-10-29,Trey,Hollingsworth,"US Congressman",MMP,"Magellan Midst",175000,Buy,"Traded $100,001 to $250,000 ."
2021-10-29,Walter,Schrader,"US Congressman",T,"AT&T Inc",32500,Sell,"Traded $15,001 to $50,000 "
2021-10-29,Marie,Newman,"US Congressman",AAPL,"Apple Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2021-10-29,Marie,Newman,"US Congressman",AMZN,"Amazon.com Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2021-10-29,Walter,Schrader,"US Congressman",BX,"Blackstone Inc",32500,Buy,"Traded $15,001 to $50,000 "
2021-10-29,Diana,Harshbarger,"US Congressman",CPRT,"Copart Inc",32002,Sell,"By Director & Spouse.Traded $4,004 To $60,000 ."
2021-10-29,Diana,Harshbarger,"US Congressman",AMZN,"Amazon.com Inc",24002,Sell,"By Director & Spouse. Traded $3,003 To $45,000 ."
2021-10-29,Rohit,Khanna,"US Congressman",SCHW,"The Charles Sc",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-29,Diana,Harshbarger,"US Congressman",META,"Meta Platforms",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-29,Diana,Harshbarger,"US Congressman",TXN,"Texas Instrume",8000,Sell,"Traded $1,001 to $15,000 ."
2021-10-29,Joshua,Gottheimer,"US Congressman",TXN,"Texas Instrume",8000,Sell,"Traded $1,001 to $15,000 "
2021-10-29,Joshua,Gottheimer,"US Congressman",MA,"Mastercard Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-10-29,Joshua,Gottheimer,"US Congressman",LRCX,"Lam Research C",8000,Sell,"Traded $1,001 to $15,000 "
2021-10-29,Diana,Harshbarger,"US Congressman",EA,"Electronic Art",8000,Buy,"Traded $1,001 to $15,000 ."
2021-10-29,Diana,Harshbarger,"US Congressman",ABBV,"Abbvie Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2021-10-29,Diana,Harshbarger,"US Congressman",ALGN,"Align Technolo",8000,Buy,"Traded $1,001 to $15,000 ."
