Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2019-10-30,James,Langevin,"US Congressman",CRWD,"Crowdstrike Ho",75000,Sell,"Traded $50,001 to $100,000 "
2019-10-29,Tomasz,Malinowski,"US Congressman",REG,"Regency Center",32500,Sell,"Traded $15,001 to $50,000 "
2019-10-29,Tomasz,Malinowski,"US Congressman",K,Kellanova,32500,Sell,"Traded $15,001 to $50,000 ."
2019-10-29,Tomasz,Malinowski,"US Congressman",POST,"Post Holdings ",32500,Sell,"Traded $15,001 to $50,000 "
2019-10-29,Tomasz,Malinowski,"US Congressman",ANIK,"Anika Therapeu",8000,Sell,"Traded $1,001 to $15,000 ."
2019-10-28,Tomasz,Malinowski,"US Congressman",QSR.TO,"Restaurant Bra",8000,Sell,"Traded $1,001 to $15,000 ."
2019-10-25,Tomasz,Malinowski,"US Congressman",FRT,"Federal Realty",40500,Sell,"Traded $16,001 to $65,000 "
2019-10-25,Tomasz,Malinowski,"US Congressman",POST,"Post Holdings ",32500,Buy,"Traded $15,001 to $50,000 "
2019-10-24,Tomasz,Malinowski,"US Congressman",PCRX,"Pacira Pharm I",8000,Sell,"Traded $1,001 to $15,000 "
2019-10-24,Tomasz,Malinowski,"US Congressman",BRBR,"Bellring Brand",8000,Buy,"Traded $1,001 to $15,000 "
2019-10-24,Tomasz,Malinowski,"US Congressman",CSLT,"Castlight Heal",8000,Buy,"Traded $1,001 to $15,000 "
2019-10-23,Tomasz,Malinowski,"US Congressman",BRBR,"Bellring Brand",8000,Sell,"Traded $1,001 to $15,000 "
2019-10-22,Tomasz,Malinowski,"US Congressman",CSLT,"Castlight Heal",8000,Buy,"Traded $1,001 to $15,000 "
2019-10-22,Tomasz,Malinowski,"US Congressman",PTON,"Peloton Intera",8000,Buy,"Traded $1,001 to $15,000 "
2019-10-21,Tomasz,Malinowski,"US Congressman",BRBR,"Bellring Brand",32500,Buy,"Traded $15,001 to $50,000 "
2019-10-21,Thomas,Suozzi,"US Congressman",ORCL,"Oracle Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2019-10-21,Thomas,Suozzi,"US Congressman",JNJ,"Johnson & John",8000,Sell,"Traded $1,001 to $15,000 "
2019-10-21,Thomas,Suozzi,"US Congressman",CVX,"Chevron Corp",8000,Sell,"Traded $1,001 to $15,000 "
2019-10-21,Tomasz,Malinowski,"US Congressman",CSLT,"Castlight Heal",8000,Buy,"Traded $1,001 to $15,000 "
2019-10-17,James,Langevin,"US Congressman",ZBRA,"Zebra Technolo",175000,Sell,"Traded $100,001 to $250,000 ."
2019-10-17,Richard,Allen,"US Congressman",INTU,"Intuit Inc",75000,Sell,"Traded $50,001 to $100,000 ."
2019-10-17,Thomas,Suozzi,"US Congressman",AMD,"Adv Micro Devi",75000,Sell,"Traded $50,001 to $100,000 ."
2019-10-17,Richard,Allen,"US Congressman",MAR,"Marriot Int Cl",32500,Sell,"Traded $15,001 to $50,000 ."
2019-10-17,Richard,Allen,"US Congressman",ACN,"Accenture Plc",32500,Sell,"Traded $15,001 to $50,000 ."
2019-10-17,Thomas,Suozzi,"US Congressman",MRK,"Merck & Compan",32500,Sell,"Traded $15,001 to $50,000 ."
2019-10-17,Thomas,Suozzi,"US Congressman",CVX,"Chevron Corp",32500,Sell,"Traded $15,001 to $50,000 "
2019-10-17,Thomas,Suozzi,"US Congressman",CCK,"Crown Cork & S",32500,Sell,"Traded $15,001 to $50,000 "
2019-10-17,Tomasz,Malinowski,"US Congressman",POOL,"Pool Corp",32500,Buy,"Traded $15,001 to $50,000 "
2019-10-17,Thomas,Suozzi,"US Congressman",JNJ,"Johnson & John",8000,Sell,"Traded $1,001 to $15,000 ."
2019-10-17,Thomas,Suozzi,"US Congressman",LLY,"Eli Lilly and ",8000,Sell,"Traded $1,001 to $15,000 "
2019-10-17,Thomas,Suozzi,"US Congressman",CI,"The Cigna Grou",8000,Sell,"Traded $1,001 to $15,000 ."
2019-10-17,Thomas,Suozzi,"US Congressman",CSCO,"Cisco Systems ",8000,Sell,"Traded $1,001 to $15,000 "
2019-10-17,Thomas,Suozzi,"US Congressman",AAPL,"Apple Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2019-10-16,Tomasz,Malinowski,"US Congressman",CSLT,"Castlight Heal",8000,Buy,"Traded $1,001 to $15,000 "
2019-10-15,Donna,Shalala,"US Congressman",MD,"Pediatrix Medi",75000,Sell,"Traded $50,001 to $100,000 ."
2019-10-15,Tomasz,Malinowski,"US Congressman",POOL,"Pool Corp",32500,Sell,"Traded $15,001 to $50,000 "
2019-10-15,Tomasz,Malinowski,"US Congressman",CSLT,"Castlight Heal",8000,Buy,"Traded $1,001 to $15,000 "
2019-10-14,Lloyd,Smucker,"US Congressman",AAPL,"Apple Inc",65001,Sell,"Traded Two Sells Between $15,001 And $50,000 ."
2019-10-11,Tomasz,Malinowski,"US Congressman",LL,"LL Flooring Hl",8000,Sell,"Traded $1,001 to $15,000 "
2019-10-04,Tomasz,Malinowski,"US Congressman",QSR,"Restaurant Bra",32500,Buy,"Traded $15,001 to $50,000 "
2019-10-04,Cynthia,Axne,"US Congressman",UNH,"Unitedhealth G",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2019-10-03,David,Trone,"US Congressman",VFC,"V.F. Corp",32500,Sell,"By Spouse. Traded $15,001 To $50,000 "
2019-10-03,Jeannie,Fuller,"US Senator",TRC,"Tejon Ranch Co",11370,Award,N/A
2019-10-02,Tomasz,Malinowski,"US Congressman",QSR.TO,"Restaurant Bra",32500,Sell,"Traded $15,001 to $50,000 ."
2019-10-02,Richard,Allen,"US Congressman",JNJ,"Johnson & John",8000,Buy,"Traded $1,001 to $15,000 ."
2019-10-01,Tomasz,Malinowski,"US Congressman",PCRX,"Pacira Pharm I",32500,Sell,"Traded $15,001 to $50,000 "
