Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2022-03-02,Diana,Harshbarger,"US Congressman",CVX,"Chevron Corp",16001,Buy,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
2022-03-02,Diana,Harshbarger,"US Congressman",MRK,"Merck & Compan",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2022-03-02,Diana,Harshbarger,"US Congressman",TMUS,"T-Mobile US",16001,Buy,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
2022-03-02,Diana,Harshbarger,"US Congressman",OSK,"Oshkosh Truck ",32002,Sell,"By Director & Spouse. Traded $4,004 To $60,000 ."
2022-03-02,Diana,Harshbarger,"US Congressman",BAC,"Bank of Americ",16001,Sell,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
2022-03-02,Michael,Mccaul,"US Congressman",HII,"Huntington Ing",207500,Sell,"By Spouse & Dependent Child.Traded $115,001 to $300,000 ."
2022-03-02,Michael,Mccaul,"US Congressman",PAHC,"Phibro Anl Htl",16000,Sell,"By Spouse & Dependent Child. Traded $2,001 to $30,000 "
2022-03-02,Michael,Mccaul,"US Congressman",NVT,"Nvent Electric",16000,Buy,"By Spouse & Dependent Child,Traded $2,001 to $30.000 ."
2022-03-02,Michael,Mccaul,"US Congressman",G,"Genpact Ltd",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-03-02,Michael,Mccaul,"US Congressman",LGIH,"LGI Homes Inc",65000,Buy,"By Spouse and Dependent Child.Traded $30.000  to $100.000 "
2022-03-02,Thomas,Tuberville,"US Senator",ARKG,"Ark Genomic Re",32500,Sell,"Sale Of Short Sale Options With Strike Price $65 And Expiry 16-November-2022. Traded $15,001 To $50,000, "
2022-03-02,Lois,Frankel,"US Congressman",MCK,"Mckesson Corp",8000,Sell,"Traded $1,001 to $15,000 "
2022-03-02,Lois,Frankel,"US Congressman",BLK,"Blackrock Inc",8000,Buy,"Traded $1,001 to $15,000 "
2022-03-02,Mark,Green,"US Congressman",ENLC,"Enlink Midstre",750000,Sell,"Traded $500,001 to $1,000,000 "
2022-03-02,Mark,Green,"US Congressman",ET,"Energy Transfe",375000,Buy,"Traded $250,001 to $500,000 "
2022-03-01,Michael,Mccaul,"US Congressman",UTHR,"United Therape",40500,Buy,"By Spouse & Dependent Child. Traded $16,002  to $65,000 ."
2022-03-01,Kevin,Hern,"US Congressman",INTC,"Intel Corp",8000,"Div Re","Traded $1,001 to $15,000 "
2022-03-01,Virginia,Foxx,"US Congressman",ORI,"Old Republic I",32500,Buy,"Traded $15,001 to $50,000 "
2022-03-01,Donald,Beyer,"US Congressman",VZ,"Verizon Commun",4235,Sell,"Price not reported"
2022-03-01,Thomas,Tuberville,"US Senator",VZ,"Verizon Commun",8000,Buy,"Traded $1,001 to $15,000 "
"Downloaded from Barchart.com as of 05-11-2024 09:50pm CDT"
