Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2019-09-27,Richard,Allen,"US Congressman",DIS,"Walt Disney Co",32500,Buy,"Traded $15,001 to $50,000 ."
2019-09-27,Richard,Allen,"US Congressman",AMGN,"Amgen Inc",32500,Buy,"By Spouse. Traded $15,001 to $50,000 ."
2019-09-27,Richard,Allen,"US Congressman",ACN,"Accenture Plc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2019-09-27,Richard,Allen,"US Congressman",ABT,"Abbott Laborat",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2019-09-27,Tomasz,Malinowski,"US Congressman",PTON,"Peloton Intera",32500,Buy,"Traded $15,001 to $50,000 "
2019-09-26,Tomasz,Malinowski,"US Congressman",IRBT,"Irobot Corp",32500,Sell,"Traded $15,001 to $50,000 "
2019-09-26,Tomasz,Malinowski,"US Congressman",PCRX,"Pacira Pharm I",32500,Buy,"Traded $15,001 to $50,000 "
2019-09-25,Gerald,Moran,"US Senator",JNK,"High Yield Bon",65001,Sell,"By Reporting Person And Spouse. Traded $30,002 To $100,000 ."
2019-09-25,Gerald,Moran,"US Senator",WFC,"Wells Fargo & ",16001,Sell,"By Reporting Person And Spouse. Traded $2,002 To $30,000 ."
2019-09-25,Gerald,Moran,"US Senator",DIS,"Walt Disney Co",16001,Sell,"By Reporting Person And Spouse. Traded $2,002 To $30,000 ."
2019-09-25,Gerald,Moran,"US Senator",VZ,"Verizon Commun",16001,Sell,"By Reporting Person And Spouse. Traded $2,002 To $30,000 ."
2019-09-25,Gerald,Moran,"US Senator",GIS,"General Mills",16001,Sell,"By Reporting Person And Spouse. Traded $2,002 To $30,000 ."
2019-09-25,Gerald,Moran,"US Senator",XOM,"Exxon Mobil Co",16001,Sell,"By Reporting Person And Spouse. Traded $2,002 To $30,000 ."
