Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2020-05-30,Rohit,Khanna,"US Congressman",META,"Meta Platforms",8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
2020-05-29,Harley,Rouda,"US Congressman",FXP,"Ultrashort FTS",175000,Sell,"Traded $100,001 to $250,000 "
2020-05-29,Harley,Rouda,"US Congressman",FXP,"Ultrashort FTS",175000,Buy,"Traded $100,001 to $250,000 "
2020-05-29,Rohit,Khanna,"US Congressman",AON,"AON Plc",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2020-05-29,Susie,Lee,"US Congressman",TWTR,"Twitter Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2020-05-29,Susie,Lee,"US Congressman",KEYS,"Keysight Techn",8000,Sell,"Traded $1,001 to $15,000 "
2020-05-29,Susie,Lee,"US Congressman",DELL,"Dell Technolog",8000,Sell,"Traded $1,001 to $15,000 "
2020-05-29,Rohit,Khanna,"US Congressman",UHAL,"U-Haul Holding",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2020-05-29,Rohit,Khanna,"US Congressman",TDG,"Transdigm Grou",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2020-05-29,Rohit,Khanna,"US Congressman",ILMN,"Illumina Inc",16001,Buy,"By Spouse. Traded $2,002 To $30,000 ."
2020-05-29,Michael,Mccaul,"US Congressman",DRI,"Darden Restaur",207501,Sell,"By Spouse and Dependent Child. Traded $115,002 To $300,000 ."
2020-05-29,Michael,Mccaul,"US Congressman",SYY,"Sysco Corp",107501,Sell,"By Spouse And Dependent Child. Traded $65,002 To $150,000 ."
2020-05-29,Charles,Roberts,"US Senator",NOC,"Northrop Grumm",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2020-05-29,Charles,Roberts,"US Senator",AAPL,"Apple Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2020-05-29,Charles,Roberts,"US Senator",NVDA,"Nvidia Corp",65000,Buy,"By Spouse. Traded $30,001 To $100,000 "
2020-05-29,John,Yarmuth,"US Congressman",PFE,"Pfizer Inc",8000,Sell,"Traded $1,001 to $15,000 "
2020-05-29,John,Yarmuth,"US Congressman",C,"Citigroup Inc",8000,Sell,"Traded $1,001 to $15,000 "
2020-05-29,John,Yarmuth,"US Congressman",AMGN,"Amgen Inc",8000,Buy,"Traded $1,001 to $15,000 ."
