Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2023-03-31,Daniel,Goldman,"US Congressman",WPPGF,"Wpp Plc",8000,Buy,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
2023-03-31,Joshua,Gottheimer,"US Congressman",HLNCF,"Haleon Plc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",VODPF,"Vodafone Group",32500,Sell,"Traded $15,001 to $50,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",SMFNF,"Sumitomo Mitsu",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",RTPPF,"Rio Tinto Plc",8000,Buy,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",RKLIF,"Rentokil Initi",8000,Buy,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",NOKBF,"Nokia [Ab] Oy ",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",MBFJF,"Mitsubishi Ufj",32500,Sell,"As ADR/ADS but shown as Ord equivalent. Traded $15,001 to $50,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",LLDTF,"Lloyds Banking",32500,Buy,"As ADR/ADS but shown as Ord equivalent. Traded $15,001 to $50,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",JHIUF,"James Hardie I",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",ICHGF,Intercontinent,8000,Sell,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",DGEAF,"Diageo Plc New",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",BCLYF,"Barclays Plc",32500,Sell,"As ADR/ADS but shown as Ord equivalent. Traded $15,001 to $50,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",BCDRF,"Banco Santande",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",MZHOF,"Mizuho Financi",8000,Buy,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
2023-03-31,Michael,Mccaul,"US Congressman",T,"AT&T Inc",107501,Sell,"By Dependent Child & Spouse. Traded $65,002 To $150,000 ."
2023-03-31,Michael,Mccaul,"US Congressman",MRK,"Merck & Compan",107501,Sell,"By Dependent Child & Spouse. Traded $65,002 To $150,000 ."
2023-03-31,Michael,Mccaul,"US Congressman",MLKN,"Millerknoll In",40501,Sell,"By Dependent Child & Spouse. Traded $16,002 To $65,000 ."
2023-03-31,Michael,Mccaul,"US Congressman",TSN,"Tyson Foods",207501,Sell,"By Dependent Child & Spouse. Traded $115,002 To $300,000 ."
2023-03-31,Joshua,Gottheimer,"US Congressman",MRNA,"Moderna Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Joshua,Gottheimer,"US Congressman",MSFT,"Microsoft Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",SE,"Sea Ltd ADR",8000,Buy,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",PACW,"Pacwest Bancor",8000,Sell,"Traded $1,001 to $15,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",NVS,"Novartis Ag AD",75000,Buy,"Traded $50,001 to $100,000 ."
2023-03-31,Daniel,Goldman,"US Congressman",INGVF,"ING Groep N.V.",8000,Buy,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
