Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2023-06-30,Kevin,Hern,"US Congressman",DVN,"Devon Energy C",40501,"Div Re","Traded $16,002 To $65,000 ."
2023-06-30,Rohit,Khanna,"US Congressman",MSFT,"Microsoft Corp",16001,Sell,"By Spouse And Dependent Child. Traded $2,001 To $30,000 "
2023-06-30,Rohit,Khanna,"US Congressman",MHK,"Mohawk Industr",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 To $30,000 ."
2023-06-30,William,Keating,"US Congressman",COF,"Capital One Fi",8000,Sell,"Traded $1,001 to $15,000 ."
2023-06-30,Rohit,Khanna,"US Congressman",LRCX,"Lam Research C",8000,Sell,"Traded $1,001 to $15,000 ."
2023-06-30,Earl,Blumenauer,"US Congressman",BROS,"Dutch Bros Inc",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2023-06-30,William,Keating,"US Congressman",LIN,"Linde Plc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-06-30,Virginia,Foxx,"US Congressman",VGR,"Vector Group L",8000,Buy,"Traded $1,001 to $15,000 ."
2023-06-29,Michael,Mccaul,"US Congressman",MS,"Morgan Stanley",350001,Sell,"By Spouse & Dependent Child.Traded $200,002 To $500,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",ISRG,"Intuitive Surg",175000,Sell,"By Spouse. Traded $100,001 to $250,000 ."
2023-06-29,Richard,Blumenthal,"US Senator",HOOD,"Robinhood Mark",107501,Sell,"By Spouse. Traded $65,002 To $150,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",ABBV,"Abbvie Inc",75000,Sell,"By Spouse. Traded $50,001 to $100,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",WFC,"Wells Fargo & ",75000,Sell,"By Spouse. Traded $50,001 to $100,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",SBUX,"Starbucks Corp",75000,Sell,"By Spouse. Traded $50,001 to $100,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",MRK,"Merck & Compan",75000,Sell,"By Spouse. Traded $50,001 to $100,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",AMGN,"Amgen Inc",75000,Buy,"By Spouse. Traded $50,001 To $100,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",JNJ,"Johnson & John",75000,Buy,"By Spouse.Traded $50,001 to $100,000 ."
2023-06-29,Michael,Mccaul,"US Congressman",PRGO,"Perrigo Compan",40501,Sell,"By Spouse & Dependent Child. Traded $16,002  to $65,000 ."
2023-06-29,Daniel,Goldman,"US Congressman",HAL,"Halliburton Co",32500,Sell,"Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",MDLZ,"Mondelez Intl ",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",ROK,"Rockwell Autom",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",IT,"Gartner Inc",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",SNPS,"Synopsys Inc",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",HLT,"Hilton Inc",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",WRK,"Westrock Compa",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",ANET,"Arista Network",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",MMM,"3M Company",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",VRSK,"Verisk Analyti",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",DIS,"Walt Disney Co",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",A,"Agilent Techno",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",PGR,"Progressive Co",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",BWA,"Borgwarner Inc",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",ODFL,"Old Dominion F",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",TEL,"Te Connectivit",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",CVS,"CVS Corp",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2023-06-29,Rohit,Khanna,"US Congressman",NDAQ,"Nasdaq Inc",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
