Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-07-30,Kevin,Hern,"US Congressman",SPY,"S&P 500 SPDR",750000,Buy,"Traded $500,001 to $1,000,000 ."
2021-07-30,Kevin,Hern,"US Congressman",NEE,"Nextera Energy",75000,Buy,"Traded $50,001 to $100,000 "
2021-07-30,Kevin,Hern,"US Congressman",JEPI,"JPM Equity Pre",175000,Buy,"Traded $100,001 to $250,000 "
2021-07-30,Kevin,Hern,"US Congressman",TIP,"TIPS Bond Isha",375000,Buy,"Traded $250,001 to $500,000 "
2021-07-30,Kevin,Hern,"US Congressman",FHLC,"Fidelity Healt",75000,Buy,"Traded $50,001 to $100,000 "
2021-07-30,Kevin,Hern,"US Congressman",FDRR,"Fidelity Divid",75000,Buy,"Traded $50,001 to $100,000 "
2021-07-30,Kevin,Hern,"US Congressman",AMZN,"Amazon.com Inc",75000,Buy,"Traded $50,001 to $100,000 ."
2021-07-30,Kevin,Hern,"US Congressman",GOOGL,"Alphabet Cl A",175000,Buy,"Traded $100,001 to $250,000 "
2021-07-30,Marie,Newman,"US Congressman",COST,"Costco Wholesa",32500,Sell,"By Spouse.Traded $15,001 To $50,000 "
2021-07-30,Marie,Newman,"US Congressman",COIN,"Coinbase Globa",65000,Sell,"By Spouse.Traded $30,001 To $100,000 "
2021-07-30,Michael,Mccaul,"US Congressman",NFLX,"Netflix Inc",350001,Buy,"By Dependent Child And Spouse. Traded $200,002 To $500,000 "
2021-07-30,Joshua,Gottheimer,"US Congressman",ROK,"Rockwell Autom",8000,Buy,"Traded $1,001 to $15,000 "
2021-07-30,John,Hickenlooper,"US Senator",PINS,"Pinterest Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-07-30,Alan,Lowenthal,"US Congressman",DECK,"Deckers Outdoo",8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
