Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2024-03-29,Kevin,Hern,"US Congressman",LMT,"Lockheed Marti",8000,"Div Re","Traded $1,001 to $15,000 ."
2024-03-28,Kevin,Hern,"US Congressman",LIN,"Linde Plc",8000,"Div Re","Traded $1,001 to $15,000 ."
2024-03-28,Rohit,Khanna,"US Congressman",NDAQ,"Nasdaq Inc",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-28,Kevin,Hern,"US Congressman",DVN,"Devon Energy C",40501,"Div Re","Traded $16,002 To $65,000 ."
2024-03-28,William,Steube,"US Congressman",SNV,"Synovus Financ",32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
2024-03-28,Thomas,Carper,"US Senator",D,"Dominion Energ",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-28,Thomas,Carper,"US Senator",MOS,"Mosaic Company",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-28,Thomas,Carper,"US Senator",NTR,"Nutrien Ltd",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-27,Rohit,Khanna,"US Congressman",PENN,"Penn Entertain",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-27,Rohit,Khanna,"US Congressman",NDAQ,"Nasdaq Inc",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-27,Ronald,Wyden,"US Senator",UPS,"United Parcel ",175000,Sell,"By Spouse. Traded $100,001 To $250,000 ."
2024-03-26,Richard,Blumenthal,"US Senator",BRPSF,"Brookfield Cor",175000,Buy,"Traded $100,001 To $250,000. ."
2024-03-26,Rohit,Khanna,"US Congressman",SRE,Sempra,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-26,Rohit,Khanna,"US Congressman",STT,"State Street C",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-26,Rohit,Khanna,"US Congressman",JPM,"JP Morgan Chas",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-26,Rohit,Khanna,"US Congressman",NDAQ,"Nasdaq Inc",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-25,Rohit,Khanna,"US Congressman",SYY,"Sysco Corp",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-03-25,Kevin,Hern,"US Congressman",WMB,"Williams Compa",8000,"Div Re","Traded $1,001 to $15,000 ."
2024-03-25,Rohit,Khanna,"US Congressman",ON,"On Semiconduct",8000,Sell,"By Dependent Child. Traded $1,001 to $15,000 ."
2024-03-25,Rohit,Khanna,"US Congressman",CCI,"Crown Castle I",8000,Sell,"By Dependent Child. Traded $1,001 to $15,000 ."
2024-03-25,Rohit,Khanna,"US Congressman",WBA,"Walgreens Boot",8000,Sell,"By Dependent Child. Traded $1,001 to $15,000 ."
