Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2023-10-31,Peter,Sessions,"US Congressman",BUI,"Blackrock Util",338159,Sell,"Price not reported, valued at close."
2023-10-31,Thomas,Tuberville,"US Senator",CLX,"Clorox Company",313003,Sell,"Traded $161,001 to $465,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",PYPL,"Paypal Holding",175000,Sell,"By Spouse. Traded $100,001 To $250,000 ."
2023-10-31,Thomas,Tuberville,"US Senator",KMB,Kimberly-Clark,175000,Sell,"Traded $100,001 to $250,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",SUI,"Sun Communitie",175000,Buy,"By Spouse. Traded $100,001 To $250,000 ."
2023-10-31,Peter,Sessions,"US Congressman",MCD,"McDonald's Cor",124793,Sell,"Traded $100,001 to $250,000. Price not reported, valued at close."
2023-10-31,Peter,Sessions,"US Congressman",PG,"Procter & Gamb",111022,Sell,"Traded $100,001 to $250,000. Price not reported, valued at close."
2023-10-31,Michael,Mccaul,"US Congressman",BSX,"Boston Scienti",107501,Buy,"By Spouse. Traded $65,002 To $150,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",GOOGL,"Alphabet Cl A",107501,Buy,"By Spouse. Traded $65,002 To $150,000 ."
2023-10-31,Peter,Sessions,"US Congressman",LMT,"Lockheed Marti",105931,Sell,"Traded $100,001 to $250,000. Price not reported, valued at close."
2023-10-31,Michael,Mccaul,"US Congressman",PYPL,"Paypal Holding",75000,Sell,"By Dependent Child. Traded $50,001 to $100,000 ."
2023-10-31,Thomas,Tuberville,"US Senator",CLX,"Clorox Company",75000,Sell,"Sale Of Put Options With A Strike Price Of $135.00 And Expiry 21-Jun-2024. Traded $50,001 To $100,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",BSX,"Boston Scienti",75000,Sell,"By Spouse. Traded $50,001 To $100,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",GOOGL,"Alphabet Cl A",75000,Sell,"By Spouse. Traded $50,001 To $100,000 ."
2023-10-31,Rohit,Khanna,"US Congressman",MCD,"McDonald's Cor",75000,Sell,"By Spouse. Traded $50,001 To $100,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",AMZN,"Amazon.com Inc",75000,Buy,"By Spouse. Traded $50,001 To $100,000 ."
2023-10-31,Rohit,Khanna,"US Congressman",WMT,"Walmart Inc",75000,Buy,"By Spouse. Traded $50,001 To $100,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",BSX,"Boston Scienti",65001,Buy,"By Dependent Child. Traded $30,002 To $100,000 ."
2023-10-31,Michael,Mccaul,"US Congressman",GOOGL,"Alphabet Cl A",65001,Buy,"By Dependent Child. Traded $30,002 To $100,000 ."
2023-10-31,Peter,Sessions,"US Congressman",SNOW,"Snowflake Inc ",41943,Sell,"Traded $15,001 to $50,000."
2023-10-31,Peter,Sessions,"US Congressman",CMG,"Chipotle Mexic",40501,Sell,"Traded $16,002 To $65,000 . Price not reported, valued at close. By Spouse."
2023-10-31,Peter,Sessions,"US Congressman",ET,"Energy Transfe",35269,Sell,"Traded $15,001 to $50,000."
2023-10-31,Michael,Mccaul,"US Congressman",CPAY,"Corpay Inc",32500,Sell,"By Dependent Child. Traded $15,001 to $50,000 ."
