Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2022-12-30,Michael,Burgess,"US Congressman",SYK,"Stryker Corp",175000,Sell,"Traded $100,001 to $250,000 ."
2022-12-30,Kevin,Hern,"US Congressman",LMT,"Lockheed Marti",8000,"Div Re","Traded $1,001 to $15,000 ."
2022-12-30,Kevin,Hern,"US Congressman",DVN,"Devon Energy C",40501,"Div Re","Traded $16,002 To $65,000 ."
2022-12-30,Nancy,Pelosi,"US Congressman",NFLX,"Netflix Inc",582930,Sell,"By Spouse."
2022-12-30,Virginia,Foxx,"US Congressman",VGR,"Vector Group L",8000,Buy,"Traded $1,001 to $15,000 "
2022-12-30,Virginia,Foxx,"US Congressman",HES,"Hess Corp",75000,Sell,"Traded $50,001 to $100,000 "
2022-12-29,David,Price,"US Congressman",XRX,"Xerox Corp",815,Sell,"Traded $815 ."
2022-12-29,David,Price,"US Congressman",UNIT,"Uniti Group In",8000,Sell,"Traded $1,001 to $15,000 ."
2022-12-29,Shelley,Capito,"US Senator",WFC,"Wells Fargo & ",8000,Sell,"By Spouse.Traded $1,001 to $15,000 ."
2022-12-29,Mark,Green,"US Congressman",ET,"Energy Transfe",32500,Sell,"Traded $15,001 to $50,000 ."
2022-12-29,Virginia,Foxx,"US Congressman",DUK,"Duke Energy Co",8000,Buy,"Traded $1,001 to $15,000 "
2022-12-28,Maria,Cantwell,"US Senator",RNWK,"Realnetworks I",32500,Sell,"Traded $15,001 to $50,000 ."
2022-12-28,Nancy,Pelosi,"US Congressman",RBLX,"Roblox Corp Cl",130250,Sell,"By Spouse."
2022-12-28,Nancy,Pelosi,"US Congressman",PYPL,"Paypal Holding",684350,Sell,"By Spouse."
2022-12-28,Nancy,Pelosi,"US Congressman",GOOGL,"Alphabet Cl A",860199,Sell,"By Spouse. Traded $500,001 To $1,000,000. Price Not Reported."
2022-12-26,Kevin,Hern,"US Congressman",WMB,"Williams Compa",8000,"Div Re","Traded $1,001 to $15,000 ."
2022-12-23,Cynthia,Axne,"US Congressman",PULS,"PGIM Ultra Sho",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2022-12-23,Roy,Blunt,"US Senator",KHC,"Kraft Heinz Co",8000,Sell,"By Spouse. Sale Of Options With Strike Price $38.63 And Expiry 23-February-2023. Traded $1,001 To $15,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2022-12-23,Thomas,Tuberville,"US Senator",GOLD,"Barrick Gold C",115502,Buy,"Traded $66,003 To $165,000 ."
2022-12-23,Joshua,Gottheimer,"US Congressman",SUPN,"Supernus Pharm",8000,Sell,"Traded $1,001 to $15,000 ."
2022-12-23,Cynthia,Axne,"US Congressman",JEF,"Jefferies Fina",24002,Sell,"By Spouse.Traded $3,003 to $45,000 ."
2022-12-22,Anthony,Gonzalez,"US Congressman",CHTR,"Charter Commun",32500,Sell,"Traded $15,001 to $50,000 ."
2022-12-22,Carol,Miller,"US Congressman",SHY,"1-3 Year Treas",175000,Buy,"Traded $100,001 to $250,000 "
2022-12-21,Michael,Guest,"US Congressman",WBD,"Discovery Inc ",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2022-12-21,Angus,King,"US Senator",EA,"Electronic Art",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2022-12-21,Nancy,Pelosi,"US Congressman",DIS,"Walt Disney Co",875800,Sell,"By Spouse."
2022-12-21,Nancy,Pelosi,"US Congressman",GOOGL,"Alphabet Cl A",895801,Sell,"By Spouse. Traded $500,001 To $1,000,000. Price Not Reported."
2022-12-21,Robert,Wittman,"US Congressman",BND,"Total Bond Mar",8000,Buy,"Traded $1,001 to $15,000 "
2022-12-21,Robert,Wittman,"US Congressman",BNDX,"Total Intl Bon",8000,Buy,"Traded $1,001 to $15,000 "
2022-12-21,Robert,Wittman,"US Congressman",MCD,"McDonald's Cor",8000,Sell,"Traded $1,001 to $15,000 "
2022-12-21,Robert,Wittman,"US Congressman",DG,"Dollar General",8000,Buy,"Traded $1,001 to $15,000 "
2022-12-21,Robert,Gibbs,"US Congressman",MDT,"Medtronic Inc",32500,Sell,"Traded $15,001 to $50,000 ."
