Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2019-12-30,Tomasz,Malinowski,"US Congressman",PSIX,"Power Solutns ",8000,Buy,"Traded $1,001 to $15,000 "
2019-12-30,Bill,Pascrell,"US Congressman",GE,"GE Aerospace",8000,Sell,"Traded $1,001 to $15,000 ."
2019-12-30,James,Langevin,"US Congressman",BYND,"Beyond Meat In",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,James,Langevin,"US Congressman",BYND,"Beyond Meat In",16001,Buy,"Purchase Of Call Options With Strike Price $75 And Expiry 21-February-2020. Traded $2,002 To $30,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2019-12-30,Rohit,Khanna,"US Congressman",URBN,"Urban Outfitte",16001,Buy,"By Spouse and Dependent Child. Traded $2,002 To $30,000 ."
2019-12-30,Gilbert,Cisneros,"US Congressman",UBSI,"United Bkshs I",8000,Sell,"Traded $1,001 to $15,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",TCOM,"Trip.com Group",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",SQ,"Block Inc",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",SEE,"Sealed Air Cor",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",ROKU,"Roku Inc",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",AVNT,"Avient Corp",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",PLNT,"Planet Fitness",32500,Sell,"Traded $15,001 to $50,000 ."
2019-12-30,Gilbert,Cisneros,"US Congressman",PEB,"Pebblebrook Ho",8000,Sell,"Traded $1,001 to $15,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",PPBI,"Pacific Premie",8000,Sell,"Traded $1,001 to $15,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",EBSB,"Meridian Bncp",8000,Sell,"Traded $1,001 to $15,000 ."
2019-12-30,Gilbert,Cisneros,"US Congressman",MTSI,"Macom Technolo",8000,Sell,"Traded $1,001 to $15,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",INTU,"Intuit Inc",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",GDDY,"Godaddy Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2019-12-30,Gilbert,Cisneros,"US Congressman",CMP,"Compass Minera",8000,Sell,"Traded $1,001 to $15,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",CHUY,"Chuy's Holding",8000,Sell,"Traded $1,001 to $15,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",CENTA,"Central Garden",8000,Sell,"Traded $1,001 to $15,000 ."
2019-12-30,Gilbert,Cisneros,"US Congressman",CENT,"Central Garden",8000,Sell,"Traded $1,001 to $15,000 "
2019-12-30,Gilbert,Cisneros,"US Congressman",GOOS,"Canada Goose H",32500,Sell,"Traded $15,001 to $50,000 "
2019-12-30,Rebecca,Sherrill,"US Congressman",QCOM,"Qualcomm Inc",615,Sell,"Price not reported"
2019-12-30,David,Mckinley,"US Congressman",WM,"Waste Manageme",32500,Buy,"Traded $15,001 to $50,000 "
2019-12-30,David,Mckinley,"US Congressman",ACN,"Accenture Plc",32500,Buy,"Traded $15,001 to $50,000 "
2019-12-30,Neal,Dunn,"US Congressman",CADE,"Cadence Bank",24002,Buy,"Traded Three Buys Between $1,001 And $15,000 ."
2019-12-30,Dean,Phillips,"US Congressman",CMCSA,"Comcast Corp A",8000,Buy,"Traded $1,001 to $15,000 "
2019-12-27,Richard,Allen,"US Congressman",SBUX,"Starbucks Corp",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2019-12-27,Richard,Allen,"US Congressman",GOOGL,"Alphabet Cl A",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
