Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2022-10-28,James,Langevin,"US Congressman",SQ,"Block Inc",75000,Sell,"Traded $50,001 to $100,000 "
2022-10-28,Rohit,Khanna,"US Congressman",URBN,"Urban Outfitte",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2022-10-28,Rohit,Khanna,"US Congressman",WAB,"Wabtec Corp",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2022-10-28,Rohit,Khanna,"US Congressman",GOOG,"Alphabet Cl C",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2022-10-28,Earl,Blumenauer,"US Congressman",AAPL,"Apple Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2022-10-28,Thomas,Tuberville,"US Senator",MSFT,"Microsoft Corp",24002,Sell,"Sale Of Short Sale Options With Strike Price $245 And Expiry 16-June-2023. Traded $3,003 To $45,000 "
2022-10-28,Rohit,Khanna,"US Congressman",SSNC,"SS&C Technolog",16001,Buy,"By Spouse And Dependent Child. Traded $2,002 To $30,000 ."
2022-10-28,Rohit,Khanna,"US Congressman",AMZN,"Amazon.com Inc",16001,Buy,"By Spouse And Dependent Child. Traded $2,002 To $30,000 ."
2022-10-28,Rohit,Khanna,"US Congressman",AAPL,"Apple Inc",8000,Sell,"By Dependent Child.Traded $1,001 To $15,000 ."
2022-10-28,Diana,Harshbarger,"US Congressman",GOOG,"Alphabet Cl C",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-28,Diana,Harshbarger,"US Congressman",GOOGL,"Alphabet Cl A",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-28,Edwin,Perlmutter,"US Congressman",QQQ,"Nasdaq QQQ Inv",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2022-10-28,James,Langevin,"US Congressman",ABNB,"Airbnb Inc Cl ",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-27,James,Langevin,"US Congressman",ABNB,"Airbnb Inc Cl ",175000,Buy,"Traded $100,001 to $250,000 "
2022-10-27,Rohit,Khanna,"US Congressman",META,"Meta Platforms",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2022-10-27,Diana,Harshbarger,"US Congressman",META,"Meta Platforms",16001,Sell,"By Director & Spouse. Traded $2,002 to $30,000 ."
2022-10-27,Joshua,Gottheimer,"US Congressman",MSFT,"Microsoft Corp",16001,Sell,"Traded $2,002 To $30,000 "
2022-10-27,Joshua,Gottheimer,"US Congressman",META,"Meta Platforms",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-27,Joshua,Gottheimer,"US Congressman",GOOG,"Alphabet Cl C",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-27,Susie,Lee,"US Congressman",JOE,"St. Joe Compan",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-27,Susie,Lee,"US Congressman",KBH,"KB Home",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-27,Deborah,Schultz,"US Congressman",AE,"Adams Resource",8000,Sell,"By Dependent Child. Traded $1,001 To $15,000 ."
2022-10-27,Robert,Gibbs,"US Congressman",CFR,"Cullen/Frost B",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-27,Thomas,Carper,"US Senator",BMN,"Blackrock 2037",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-27,Rohit,Khanna,"US Congressman",NFLX,"Netflix Inc",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2022-10-27,Lois,Frankel,"US Congressman",COLD,"Americold Real",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-26,Rohit,Khanna,"US Congressman",MRK,"Merck & Compan",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2022-10-26,Diana,Harshbarger,"US Congressman",EW,"Edwards Lifesc",32002,Buy,"By Director & Spouse. Traded $4,004 To $60,000 ."
2022-10-26,Diana,Harshbarger,"US Congressman",MDT,"Medtronic Inc",24002,Sell,"By Director & Spouse. Traded $3,003 To $45,000 ."
2022-10-26,Rohit,Khanna,"US Congressman",CMCSA,"Comcast Corp A",16001,Sell,"By Spouse And Dependent Child. Traded $2,002 To $30,000 ."
2022-10-26,Rohit,Khanna,"US Congressman",NEE,"Nextera Energy",16001,Buy,"By Spouse And Dependent Child. Traded $2,002 To $30,000 ."
2022-10-26,John,Boozman,"US Senator",JMBS,"Janus Mortgage",16001,Buy,"Traded $2,002 To $30,000 "
2022-10-26,John,Boozman,"US Senator",AGZ,"Agency Bond Is",16001,Buy,"Traded $2,002 To $30,000 "
2022-10-26,Rohit,Khanna,"US Congressman",WAB,"Wabtec Corp",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-26,Lois,Frankel,"US Congressman",JNJ,"Johnson & John",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-26,John,Boozman,"US Senator",CMBS,"CMBS Ishares E",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-26,John,Boozman,"US Senator",GIGB,"GS Access Inve",8000,Sell,"Traded $1,001 to $15,000 "
2022-10-26,Walter,Schrader,"US Congressman",COP,Conocophillips,8000,Sell,"144 transaction, announced through the SEC 144 filing, we cannot confirm that this was executed as the company is a SEC foreign issuer and doesn't report transactions through Form 4's."
2022-10-26,Diana,Harshbarger,"US Congressman",MSFT,"Microsoft Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-26,Diana,Harshbarger,"US Congressman",CNC,"Centene Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-26,Edwin,Perlmutter,"US Congressman",MGK,"Vanguard Mega ",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-26,Lois,Frankel,"US Congressman",PFE,"Pfizer Inc",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-26,Lois,Frankel,"US Congressman",HAL,"Halliburton Co",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-26,Walter,Schrader,"US Congressman",SLB,"Schlumberger N",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-25,Rohit,Khanna,"US Congressman",ST,"Sensata Techno",40501,Buy,"By Spouse And Dependent Child. Traded $16,001 To $65,000 ."
2022-10-25,Thomas,Tuberville,"US Senator",VZ,"Verizon Commun",32500,Sell,"Traded $15,001 to $50,000 ."
2022-10-25,Diana,Harshbarger,"US Congressman",XEL,"XCEL Energy In",32002,Buy,"By Director & Spouse. Traded $4,004 To $60,000 ."
2022-10-25,Diana,Harshbarger,"US Congressman",AEE,"Ameren Corp",16001,Sell,"Traded $2,002 To $30,000 ."
2022-10-25,Rohit,Khanna,"US Congressman",WAB,"Wabtec Corp",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-25,Rohit,Khanna,"US Congressman",RF,"Regions Financ",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-25,Thomas,Tuberville,"US Senator",FDX,"Fedex Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2022-10-25,Joshua,Gottheimer,"US Congressman",AAPL,"Apple Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2022-10-25,Michael,Burgess,"US Congressman",SYK,"Stryker Corp",8000,Sell,"Sale Of Call Option With Strike Price $240 And Expiry 25-November-2022.Traded $1,001 To $15,000 "
2022-10-25,Diana,Harshbarger,"US Congressman",IXUS,"Total Intl Sto",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-25,Edwin,Perlmutter,"US Congressman",VBR,"Smallcap Value",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-25,Edwin,Perlmutter,"US Congressman",VOE,"Midcap Value E",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-25,Edwin,Perlmutter,"US Congressman",QQQ,"Nasdaq QQQ Inv",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2022-10-25,Daniel,Crenshaw,"US Congressman",WYNN,"Wynn Resorts L",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-25,Daniel,Crenshaw,"US Congressman",USO,"US Oil Fund",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-25,Daniel,Crenshaw,"US Congressman",META,"Meta Platforms",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-25,Daniel,Crenshaw,"US Congressman",FAS,"Financial Bull",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-25,Daniel,Crenshaw,"US Congressman",AAPL,"Apple Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-25,Daniel,Crenshaw,"US Congressman",AMZN,"Amazon.com Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2022-10-25,Daniel,Crenshaw,"US Congressman",GOOG,"Alphabet Cl C",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-24,Thomas,Tuberville,"US Senator",MSFT,"Microsoft Corp",32500,Buy,"Traded $15,001 to $50,000 ."
2022-10-24,Diana,Harshbarger,"US Congressman",AEE,"Ameren Corp",32002,Sell,"By Director & Spouse. Traded $4,004 To $60,000 ."
2022-10-24,Diana,Harshbarger,"US Congressman",XEL,"XCEL Energy In",32002,Buy,"By Director & Spouse. Traded $4,004 To $60,000 ."
2022-10-24,Lois,Frankel,"US Congressman",NSP,"Insperity Inc",16001,Sell,"Traded $2,002 To $30,000 "
2022-10-24,Diana,Harshbarger,"US Congressman",IXUS,"Total Intl Sto",16001,Buy,"Traded $2,002 To $30,000 ."
2022-10-24,Diana,Harshbarger,"US Congressman",LPLA,"Lpl Financial ",8000,Sell,"Traded $1,001 to $15,000 ."
2022-10-24,Alan,Lowenthal,"US Congressman",BSX,"Boston Scienti",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-24,Edwin,Perlmutter,"US Congressman",SDY,"S&P Dividend S",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-24,Edwin,Perlmutter,"US Congressman",LDUR,"Pimco Low Dura",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-10-24,Joshua,Gottheimer,"US Congressman",DE,"Deere & Compan",8000,Buy,"Traded $1,001 to $15,000 "
2022-10-21,James,Langevin,"US Congressman",ABNB,"Airbnb Inc Cl ",175000,Sell,"Traded $100,001 to $250,000 "
2022-10-21,Rohit,Khanna,"US Congressman",IWF,"Russell 1000 G",175000,Buy,"By Dependent Child. Traded $100,001 to $250,000 ."
2022-10-21,Michael,Mccaul,"US Congressman",GM,"General Motors",150001,Sell,"By Dependent Child & Spouse. Traded $100,002 To $200,000 "
2022-10-21,Virginia,Foxx,"US Congressman",CPX.TO,"Capital Power ",75000,Sell,"Traded $50,001 to $100,000 "
