Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2024-01-30,Rohit,Khanna,"US Congressman",GM,"General Motors",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2024-01-29,Mark,Green,"US Congressman",NGL,"Ngl Energy Par",175000,Sell,"Traded $100,001 to $250,000 ."
2024-01-29,Michael,Mccaul,"US Congressman",OXY,"Occidental Pet",75000,Buy,"By Dependent Child. Traded $50,001 to $100,000 ."
2024-01-29,Michael,Mccaul,"US Congressman",OXY,"Occidental Pet",75000,Buy,"By Spouse. Traded $50,001 to $100,000 ."
2024-01-29,Michael,Mccaul,"US Congressman",ACN,"Accenture Plc",32500,Sell,"By Dependent Child. Traded $15,001 to $50,000 ."
2024-01-29,Michael,Mccaul,"US Congressman",ACN,"Accenture Plc",32500,Sell,"By Spouse.Traded $15,001 To $50,000 ."
2024-01-29,Michael,Mccaul,"US Congressman",ENTG,"Entegris Inc",32500,Buy,"By Dependet Child. Traded $15,001 to $50,000 ."
2024-01-29,Joshua,Gottheimer,"US Congressman",ALNY,"Alnylam Pharma",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-29,Rohit,Khanna,"US Congressman",GM,"General Motors",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2024-01-29,Joshua,Gottheimer,"US Congressman",ISRG,"Intuitive Surg",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-29,Rohit,Khanna,"US Congressman",GM,"General Motors",8000,Buy,"By Dependant Child. Traded $1,001 to $15,000 ."
2024-01-26,Michael,Mccaul,"US Congressman",FCNCP,"First Citizens",175000,Buy,"By Dependent Child.Traded $100,001 To $250,000 ."
2024-01-26,Michael,Mccaul,"US Congressman",LIN,"Linde Plc",75000,Sell,"By Spouse. Traded $50,001 To $100,000 ."
2024-01-26,Michael,Mccaul,"US Congressman",AMD,"Adv Micro Devi",75000,Buy,"By Dependent Child. Traded $50,001 to $100,000 ."
2024-01-26,Michael,Mccaul,"US Congressman",AMD,"Adv Micro Devi",75000,Buy,"By Spouse. Traded $50,001 to $100,000 ."
2024-01-26,Michael,Mccaul,"US Congressman",LIN,"Linde Plc",32500,Sell,"By Dependent Child. Traded $15,001 to $50,000 ."
2024-01-26,Michael,Mccaul,"US Congressman",CMG,"Chipotle Mexic",32500,Sell,"By Dependent Child. Traded $15,001 To $50,000 . Exact trade date is not visible in the filing, so assuming the date as end of month."
2024-01-26,Michael,Mccaul,"US Congressman",CMG,"Chipotle Mexic",32500,Sell,"By Spouse.Traded $15,001 To $50,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",XONE,"Boxx One Year ",32500,Sell,"Traded $15,001 to $50,000 ."
2024-01-26,Lindsey,Graham,"US Senator",VIG,"Dividend Appre",32500,Sell,"Traded $15,001 to $50,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",SHY,"1-3 Year Treas",32500,Buy,"Traded $15,001 to $50,000 ."
2024-01-26,Lindsey,Graham,"US Senator",USFR,"Wisdomtree Flo",32500,Buy,"Traded $15,001 to $50,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",XLI,"S&P 500 Indust",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",XME,"S&P Metals & M",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",IBDP,"Dec 2024 Term ",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",TLH,"10-20 Year Tre",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",XMHQ,"Invesco S&P Mi",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",PDBC,"Optimum Yield ",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-26,Rohit,Khanna,"US Congressman",GM,"General Motors",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",GLDM,"SPDR Gold Mini",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",SPYV,"SPDR S&P 500 V",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",SPYG,"SPDR S&P 500 G",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",SLYG,"S&P Smallcap G",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",HYBB,"Ishares Bb Rat",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-26,Charles,Fleischmann,"US Congressman",IGSB,"Short-Term Cor",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-25,Shri,Thanedar,"US Congressman",AAPL,"Apple Inc",65001,Sell,"Traded $30,002 to $100,000 ."
2024-01-25,Jonathan,Jackson,"US Congressman",LRCX,"Lam Research C",32500,Buy,"Traded $15,001 to $50,000 ."
2024-01-25,Shri,Thanedar,"US Congressman",MSFT,"Microsoft Corp",16001,Sell,"Traded $2,002 To $30,000 ."
2024-01-25,Shri,Thanedar,"US Congressman",AMZN,"Amazon.com Inc",16001,Sell,"Traded $2,002 To $30,000 ."
2024-01-25,Shri,Thanedar,"US Congressman",GOOG,"Alphabet Cl C",16001,Sell,"Traded $2,002 To $30,000 ."
2024-01-25,Shri,Thanedar,"US Congressman",GOOGL,"Alphabet Cl A",16001,Sell,"Traded $2,002 To $30,000 ."
2024-01-25,Joshua,Gottheimer,"US Congressman",TSLA,"Tesla Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-25,Joshua,Gottheimer,"US Congressman",ON,"On Semiconduct",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-25,Joshua,Gottheimer,"US Congressman",APH,"Amphenol Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-25,Rohit,Khanna,"US Congressman",KKR,"KKR & Company ",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2024-01-25,Rohit,Khanna,"US Congressman",CRI,"Carter's Inc",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2024-01-25,Joshua,Gottheimer,"US Congressman",NOW,"Servicenow Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-24,Thomas,Tuberville,"US Senator",INTC,"Intel Corp",32500,Sell,"Traded $15,001 to $50,000 ."
2024-01-24,Daniel,Sullivan,"US Senator",RPM,"RPM Internatio",32500,Sell,"Traded $15,001 to $50,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",MEDP,"Medpace Holdin",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",LOW,"Lowe's Compani",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",LAD,"Lithia Motors",8000,Sell,"Traded $1,001 to $15,000 ."
2024-01-24,Rohit,Khanna,"US Congressman",GOOGL,"Alphabet Cl A",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2024-01-24,Rohit,Khanna,"US Congressman",CRI,"Carter's Inc",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",TPH,"Tri Pointe Hom",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",CHRD,"Chord Energy C",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",ABG,"Asbury Automot",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",AGIO,"Agios Pharmace",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-24,Joshua,Gottheimer,"US Congressman",AMD,"Adv Micro Devi",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-24,Rohit,Khanna,"US Congressman",STT,"State Street C",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2024-01-24,William,Keating,"US Congressman",PANW,"Palo Alto Netw",8000,Buy,"Traded $1,001 to $15,000 ."
2024-01-23,Kathy,Manning,"US Congressman",SBUX,"Starbucks Corp",48502,Sell,"Traded $17,003 To $80,000 . By Spouse."
2024-01-23,Kathy,Manning,"US Congressman",LRCX,"Lam Research C",48502,Sell,"Traded $17,003 To $80,000 . By Spouse."
2024-01-23,Kathy,Manning,"US Congressman",INTU,"Intuit Inc",48502,Sell,"Traded $17,003 To $80,000 . By Spouse."
2024-01-23,Kathy,Manning,"US Congressman",GIS,"General Mills",48502,Sell,"Traded $17,003 To $80,000 . By Spouse."
2024-01-23,Kathy,Manning,"US Congressman",AAPL,"Apple Inc",48502,Sell,"Traded $17,003 To $80,000 . By Spouse."
2024-01-23,Kathy,Manning,"US Congressman",CRM,"Salesforce Inc",48502,Buy,"Traded $17,003 To $80,000 . By Spouse."
2024-01-23,Kathy,Manning,"US Congressman",MSCI,"MSCI Inc",48502,Buy,"Traded $17,003 To $80,000 . By Spouse."
2024-01-23,Kathy,Manning,"US Congressman",MRK,"Merck & Compan",48502,Buy,"Traded $17,003 To $80,000 . By Spouse."
