Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-09-30,Thomas,Tuberville,"US Senator",DGEAF,"Diageo Plc New",8000,Buy,"Traded $1,001 to $15,000 ."
2021-09-30,Rohit,Khanna,"US Congressman",URBN,"Urban Outfitte",32500,Buy,"By Spouse. Traded $15,001 To $50,000 . Exact trade date is not visible in the filing, so assuming the date as end of month."
2021-09-30,Diana,Harshbarger,"US Congressman",BTI,"British Americ",32002,Sell,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",PYPL,"Paypal Holding",350001,Sell,"By Spouse And Dependent Child. Traded $200,002 to $500,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",GOOGL,"Alphabet Cl A",350001,Sell,"By Spouse And Dependent Child. Traded $200,002 to $500,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",INTU,"Intuit Inc",350001,Sell,"By Spouse And Dependent Child. Traded $200,002 to $500,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",FTNT,"Fortinet Inc",150001,Sell,"By Spouse And Dependent Child. Traded $100,002 to $200,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",NVDA,"Nvidia Corp",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",EPAM,"Epam Systems I",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",CPAY,"Corpay Inc",65001,Buy,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",SCHW,"The Charles Sc",700001,Buy,"By Spouse & Dependent Child. Traded $400,004 to $1,000,000 ."
2021-09-30,Michael,Mccaul,"US Congressman",KDP,"Keurig Dr Pepp",150001,Buy,"By Spouse & Dependent Child. Traded $100,002 To $200,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",FIS,"Fidelity Natio",8000,Buy,"Traded $1,001 to $15,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",TXN,"Texas Instrume",16001,Sell,"Traded $2,002 To $30,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",TSM,"Taiwan Semicon",32002,Sell,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",SEE,"Sealed Air Cor",16001,Sell,"Traded $2,002 To $30,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",ROST,"Ross Stores In",8000,Sell,"Traded $1,001 to $15,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",PM,"Philip Morris ",32002,Sell,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",LHX,"L3Harris Techn",32002,Sell,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",JNJ,"Johnson & John",16001,Sell,"Traded $2,002 To $30,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",CUBE,Cubesmart,32002,Sell,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",ADP,"Automatic Data",16001,Sell,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",AFG,"American Finan",8000,Sell,"Traded $1,001 to $15,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",OSK,"Oshkosh Truck ",32002,Buy,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",NOC,"Northrop Grumm",32002,Buy,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",MRK,"Merck & Compan",32002,Buy,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",HLI,"Houlihan Lokey",32002,Buy,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-09-30,Diana,Harshbarger,"US Congressman",EA,"Electronic Art",32002,Buy,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
