Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-04-30,Diana,Harshbarger,"US Congressman",AEE,"Ameren Corp",24002,Sell,"By Director And Spouse. Traded $3,003 To $45,000 "
2021-04-30,Kathy,Manning,"US Congressman",DIS,"Walt Disney Co",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",V,"Visa Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",VTRS,"Viatris Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",TJX,"TJX Companies",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",SBUX,"Starbucks Corp",16001,Sell,"Traded $2,002 to $30,000 ."
2021-04-30,Kathy,Manning,"US Congressman",MSFT,"Microsoft Corp",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",LRCX,"Lam Research C",40501,Buy,"Traded $16,002 To $65,000 ."
2021-04-30,Kathy,Manning,"US Congressman",JNJ,"Johnson & John",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",INTU,"Intuit Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",EL,"Estee Lauder C",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",CNC,"Centene Corp",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",CAT,"Caterpillar In",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",AON,"AON Plc",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",AMGN,"Amgen Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2021-04-30,Kathy,Manning,"US Congressman",GOOGL,"Alphabet Cl A",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Kathy,Manning,"US Congressman",ACN,"Accenture Plc",16001,Sell,"Traded $2,002 to $30,000 ."
2021-04-30,Kathy,Manning,"US Congressman",ABBV,"Abbvie Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Blake,Moore,"US Congressman",RTX,"Rtx Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2021-04-30,Blake,Moore,"US Congressman",MSFT,"Microsoft Corp",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-30,Blake,Moore,"US Congressman",JNJ,"Johnson & John",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-30,Blake,Moore,"US Congressman",HQY,Healthequity,8000,Buy,"Traded $1,001 to $15,000 "
2021-04-30,Blake,Moore,"US Congressman",BAC,"Bank of Americ",8000,Buy,"Traded $1,001 to $15,000 ."
2021-04-30,Blake,Moore,"US Congressman",AAPL,"Apple Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2021-04-30,Blake,Moore,"US Congressman",AXP,"American Expre",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-30,Rohit,Khanna,"US Congressman",GM,"General Motors",8000,Sell,"By Dependent Child. Traded $1,001 to $15,000 ."
2021-04-30,Rohit,Khanna,"US Congressman",DE,"Deere & Compan",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2021-04-30,Rohit,Khanna,"US Congressman",MRK,"Merck & Compan",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2021-04-30,Peter,Sessions,"US Congressman",IBM,"International ",4966,Buy,"By Spouse. Price Not Reported."
2021-04-30,Joshua,Gottheimer,"US Congressman",TWTR,"Twitter Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-30,Joshua,Gottheimer,"US Congressman",TSLA,"Tesla Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-30,Marie,Newman,"US Congressman",UA,"Under Armour I",8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
2021-04-30,Marie,Newman,"US Congressman",TSLA,"Tesla Inc",75000,Buy,"By Spouse. Traded $50,001 To $100,000 "
2021-04-30,Marie,Newman,"US Congressman",TSLA,"Tesla Inc",8000,Sell,"By Spouse. As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-04-30,Marie,Newman,"US Congressman",MSFT,"Microsoft Corp",32500,Buy,"Traded $15,001 to $50,000 "
2021-04-30,Michael,Mccaul,"US Congressman",EPAM,"Epam Systems I",75000,Sell,"By Dependent Child. Traded $50,001 to $100,000 ."
2021-04-30,Michael,Mccaul,"US Congressman",BURL,"Burlington Sto",107501,Sell,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
2021-04-30,Michael,Mccaul,"US Congressman",AMZN,"Amazon.com Inc",65001,Buy,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-04-30,Richard,Burr,"US Senator",EPD,"Enterprise Pro",75000,Sell,"Traded $50,001 to $100,000 "
2021-04-29,Diana,Harshbarger,"US Congressman",LHX,"L3Harris Techn",8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",SHW,Sherwin-Willia,24002,Buy,"By Director & Spouse. Traded $3,003 To $45,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",SPGI,"S&P Global Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",PG,"Procter & Gamb",8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",G,"Genpact Ltd",8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",VRSK,"Verisk Analyti",32002,Sell,"By Director & Spouse. Traded $4,004 To $60,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",RS,"Reliance Inc",32002,Buy,"By Director And Spouse. Traded $4,004 To $60,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",CRI,"Carter's Inc",24002,Buy,"By Director And Spouse. Traded $3,003 To $45,000 ."
2021-04-29,Diana,Harshbarger,"US Congressman",RNR,"Renaissancere ",24002,Sell,"By Director & Spouse. Traded $3,003 To $45,000 ."
2021-04-29,Tomasz,Malinowski,"US Congressman",DASH,"Doordash Inc C",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-29,Michael,Mccaul,"US Congressman",ALL,"Allstate Corp",40501,Buy,"By Spouse and Dependent Child. Traded $16,002 to $65,000 ."
2021-04-29,Michael,Mccaul,"US Congressman",SYY,"Sysco Corp",83001,Sell,"By Spouse and Dependent Child. Traded $51,002 To $115,000 ."
2021-04-29,Michael,Mccaul,"US Congressman",BURL,"Burlington Sto",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-04-29,Michael,Mccaul,"US Congressman",EPAM,"Epam Systems I",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-04-29,Michael,Mccaul,"US Congressman",AMZN,"Amazon.com Inc",150001,Buy,"By Spouse & Dependent Child. Traded $100,002 To $200,000 ."
2021-04-29,Donald,Beyer,"US Congressman",SPLK,"Splunk Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-29,Donald,Beyer,"US Congressman",NDAQ,"Nasdaq Inc",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-28,Douglas,Lamborn,"US Congressman",NTAP,"Netapp Inc",40500,Buy,"By Spouse And IRA. Traded $16,001 To $65,000 "
2021-04-28,Joshua,Gottheimer,"US Congressman",PYPL,"Paypal Holding",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-28,Sheldon,Whitehouse,"US Senator",INTC,"Intel Corp",32500,Sell,"Traded $15,001 to $50,000 "
2021-04-28,Michael,Mccaul,"US Congressman",MRK,"Merck & Compan",450001,Buy,"By Spouse & Dependent Child. Traded $300,002 To $600,000 ."
2021-04-28,Michael,Mccaul,"US Congressman",MS,"Morgan Stanley",475001,Sell,"By Spouse and Dependent Child. Traded $350,002 to $600,000 ."
2021-04-28,Michael,Mccaul,"US Congressman",SYY,"Sysco Corp",250001,Sell,"By Spouse and Dependent Child. Traded $150,002 To $350,000 ."
2021-04-28,Michael,Mccaul,"US Congressman",ALL,"Allstate Corp",450001,Buy,"By Spouse and Dependent Child. Traded $300,002 to $600,000 ."
2021-04-28,Michael,Mccaul,"US Congressman",EPAM,"Epam Systems I",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-04-28,Michael,Mccaul,"US Congressman",TRS,"Trimas Corp",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-04-28,Michael,Garcia,"US Congressman",TSLA,"Tesla Inc",32500,Buy,"Traded $15,001 to $50,000 "
2021-04-28,Richard,Burr,"US Senator",USB,"U.S. Bancorp",75000,Sell,"By Spouse. Traded $50,001 To $100,000 ."
2021-04-28,Richard,Burr,"US Senator",MET,"Metlife Inc",75000,Sell,"By Spouse. Traded $50,001 To $100,000 "
2021-04-28,Richard,Burr,"US Senator",EPD,"Enterprise Pro",40501,Sell,"By Director And Spouse. Traded $16,002 To $65,000 "
2021-04-27,Diana,Harshbarger,"US Congressman",RNR,"Renaissancere ",16001,Sell,"By Director & Spouse. Traded $2,002 to $30,000 "
2021-04-27,Thomas,Tuberville,"US Senator",CALX,"Calix Inc",24000,Sell,"Sale Of Put Options With Strike Price $40.00 And Expiry 01/21/22 . Traded $3,001 To $45,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-04-27,Deborah,Ross,"US Congressman",LRCX,"Lam Research C",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-04-27,Deborah,Ross,"US Congressman",FCX,Freeport-Mcmor,32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-04-27,Deborah,Ross,"US Congressman",CRWD,"Crowdstrike Ho",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2021-04-27,Deborah,Ross,"US Congressman",CLF,Cleveland-Clif,32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-04-27,Deborah,Ross,"US Congressman",AMAT,"Applied Materi",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2021-04-27,Deborah,Ross,"US Congressman",GOOGL,"Alphabet Cl A",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-04-27,Deborah,Ross,"US Congressman",AMD,"Adv Micro Devi",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-04-27,Susie,Lee,"US Congressman",JOE,"St. Joe Compan",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-27,Tomasz,Malinowski,"US Congressman",QDEL,"Quidelortho Co",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-27,Tomasz,Malinowski,"US Congressman",DASH,"Doordash Inc C",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-27,Michael,Mccaul,"US Congressman",MAR,"Marriot Int Cl",250001,Sell,"By Spouse & Dependent Child. Traded $150,002 To $350,000 ."
2021-04-27,Clifford,Franklin,"US Congressman",BRP,"The Baldwin In",3000000,Sell,"Traded $1,000,001 to $5,000,000 ."
2021-04-26,Diana,Harshbarger,"US Congressman",GOOGL,"Alphabet Cl A",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2021-04-26,Thomas,Tuberville,"US Senator",QQQ,"Nasdaq QQQ Inv",8000,Sell,"Sale Of Put Options With Strike Price $285.00 And Expiry 03/18/2022. Traded $1.001 To $15,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-04-26,Douglas,Lamborn,"US Congressman",NTAP,"Netapp Inc",8000,Sell,"By IRA. Traded $1,001 To $15,000 "
2021-04-26,Marie,Newman,"US Congressman",SBUX,"Starbucks Corp",8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
2021-04-26,Peter,Sessions,"US Congressman",LOW,"Lowe's Compani",9960,Buy,"Price not reported."
2021-04-26,James,Langevin,"US Congressman",META,"Meta Platforms",32500,Sell,"Traded $15,001 to $50,000 "
2021-04-26,Susie,Lee,"US Congressman",SAIC,"Science Applic",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-26,Susie,Lee,"US Congressman",TAP,"Molson Coors B",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-26,Tomasz,Malinowski,"US Congressman",TDC,"Teradata Corp",75000,Buy,"Traded $50,001 to $100,000 "
2021-04-26,Shelley,Capito,"US Senator",WFC,"Wells Fargo & ",8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
2021-04-25,Diana,Harshbarger,"US Congressman",GOOGL,"Alphabet Cl A",8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
2021-04-24,Susie,Lee,"US Congressman",BBWI,"Bath & Body Wo",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Diana,Harshbarger,"US Congressman",GOOG,"Alphabet Cl C",16001,Sell,"Traded $2,002 To $30,000 "
2021-04-23,Walter,Schrader,"US Congressman",SE,"Sea Ltd ADR",8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-23,Walter,Schrader,"US Congressman",IQV,"Iqvia Holdings",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-23,Walter,Schrader,"US Congressman",FTV,"Fortive Corp",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-23,Walter,Schrader,"US Congressman",ETN,"Eaton Corp",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Walter,Schrader,"US Congressman",VMC,"Vulcan Materia",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Marie,Newman,"US Congressman",W,"Wayfair Inc",8000,Sell,"By Spouse. As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint"
2021-04-23,Marie,Newman,"US Congressman",YTRA,"Yatra Online I",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Marie,Newman,"US Congressman",JNJ,"Johnson & John",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2021-04-23,Austin,Scott,"US Congressman",BLDP,"Ballard Power ",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Michael,Mccaul,"US Congressman",HLI,"Houlihan Lokey",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-04-23,Michael,Mccaul,"US Congressman",NFLX,"Netflix Inc",107501,Buy,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
2021-04-23,Lois,Frankel,"US Congressman",CARG,"Cargurus Inc C",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Andrew,Garbarino,"US Congressman",ORMP,"Oramed Pharma",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Andrew,Garbarino,"US Congressman",OSW,"Onespaworld Ho",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-23,Andrew,Garbarino,"US Congressman",GSS,,8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-23,Andrew,Garbarino,"US Congressman",BAC,"Bank of Americ",8000,Sell,"Traded $1,001 to $15,000 ."
2021-04-23,Gary,Peters,"US Senator",OCSL,"Oaktree Specia",8000,"Transfer In","Shares Received In Exchange For Shares In Oaktree Specialty Lending Corp. Traded $1,001 To $15,000 ."
2021-04-22,Marie,Newman,"US Congressman",ZM,"Zoom Video Com",8000,Sell,"By Spouse. As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint"
2021-04-22,Marie,Newman,"US Congressman",TSLA,"Tesla Inc",8000,Buy,"By Spouse. As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-04-22,Marie,Newman,"US Congressman",TSLA,"Tesla Inc",75000,Sell,"By Spouse. Traded $50,001 To $100,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",EWU,"UK Ishares MSC",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",IEMG,"Emrg Mkts Isha",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",VNQ,"Real Estate Va",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",MDYV,"S&P Midcap Val",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",MDYG,"S&P Midcap Gro",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",SPYV,"SPDR S&P 500 V",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",SPYG,"SPDR S&P 500 G",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",SLYG,"S&P Smallcap G",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",IGLB,"Long-Term Corp",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-22,Charles,Fleischmann,"US Congressman",IAU,"Gold Trust Ish",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-22,Michael,Mccaul,"US Congressman",PRI,"Primerica Inc",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-04-22,Michael,Mccaul,"US Congressman",CMCSA,"Comcast Corp A",550001,Sell,"By Spouse & Dependent Child. Traded $350,002 To $750,000 ."
2021-04-22,Michael,Mccaul,"US Congressman",AWI,"Armstrong Worl",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2021-04-22,Michael,Mccaul,"US Congressman",PLXS,"Plexus Cp",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-04-22,Robert,Wittman,"US Congressman",AVGO,"Broadcom Ltd",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-22,Deborah,Dingell,"US Congressman",BX,"Blackstone Inc",32500,Sell,"Traded $15,001 to $50,000 "
2021-04-22,John,Boozman,"US Senator",IWM,"Russell 2000 I",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-22,Gerald,Connolly,"US Congressman",LDOS,"Leidos Holding",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-22,Gerald,Connolly,"US Congressman",D,"Dominion Energ",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-21,Thomas,Tuberville,"US Senator",ECOM,Channeladvisor,8000,Sell,"Sale Of Call Options With Strike Price $30.00 And Expiry 12/17/2021. Traded $1,001 To $15,000 , As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-04-21,Thomas,Tuberville,"US Senator",CSX,"CSX Corp",8000,Buy,"Purchase Of Put Options With Strike Price $80.00 And 08/20/2021. Traded $1,001 To $15.000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-04-21,Rohit,Khanna,"US Congressman",KO,"Coca-Cola Comp",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2021-04-21,Rohit,Khanna,"US Congressman",MSI,"Motorola Solut",8000,Sell,"By Dependent Child. Traded $1,001 to $15,000 ."
2021-04-21,Tomasz,Malinowski,"US Congressman",PTON,"Peloton Intera",32500,Buy,"Traded $15,001 to $50,000 "
2021-04-21,Tomasz,Malinowski,"US Congressman",GFN,"General Financ",8000,Sell,"Traded $100,001 to $250,000 ."
2021-04-21,Mark,Green,"US Congressman",NGL,"Ngl Energy Par",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-21,Michael,Mccaul,"US Congressman",AVY,"Avery Dennison",32500,Sell,"By Dependent Child. Traded $15,001 To $50,000 ."
2021-04-21,Michael,Mccaul,"US Congressman",HLI,"Houlihan Lokey",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2021-04-21,Michael,Mccaul,"US Congressman",HSIC,"Henry Schein I",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-04-21,Michael,Mccaul,"US Congressman",WTW,"Willis Towers ",250001,Buy,"By Spouse & Dependent Child. Traded $150,002 To $350,000 ."
2021-04-21,Lois,Frankel,"US Congressman",MS,"Morgan Stanley",8000,Buy,"Traded $1,001 to $15,000 "
2021-04-21,Lois,Frankel,"US Congressman",GS,"Goldman Sachs ",8000,Sell,"Traded $1,001 to $15,000 "
2021-04-20,Patrick,Fallon,"US Congressman",DIS,"Walt Disney Co",1,Sell,"Sale Of Put Options With Strike Price $187.5 And Expiry 21-May-2021. Price No Reported."
