Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-01-29,Marie,Newman,"US Congressman",MRNA,"Moderna Inc",81002,Sell,"By Spouse. Traded $32,004 to $130,000 ."
2021-01-29,Marie,Newman,"US Congressman",AAPL,"Apple Inc",65001,Buy,"By Spouse. Traded $30,002 to $100,000 ."
2021-01-29,Thomas,Suozzi,"US Congressman",BA,"Boeing Company",32500,Sell,"Traded $15,001 to $50,000 "
2021-01-29,Marie,Newman,"US Congressman",BA,"Boeing Company",32500,Sell,"By Spouse. Traded $15,001 To $50,000 "
2021-01-29,Deborah,Dingell,"US Congressman",PARA,"Paramount Glob",32500,Sell,"Traded $15,001 to $50,000 "
2021-01-29,Marie,Newman,"US Congressman",TWTR,"Twitter Inc",16001,Sell,"By Spouse. Traded $2,002 to $30,000 ."
2021-01-29,Marie,Newman,"US Congressman",CHWY,"Chewy Inc",16001,Sell,"By Spouse. Traded $2,002 to $30,000 ."
2021-01-29,Diana,Harshbarger,"US Congressman",TMUS,"T-Mobile US",8000,Buy,"Traded $1,001 to $15,000 "
2021-01-29,Tomasz,Malinowski,"US Congressman",QUMU,"Qumu Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2021-01-28,James,Langevin,"US Congressman",PYPL,"Paypal Holding",175000,Buy,"Traded $100,001 to $250,000 "
2021-01-28,Peter,Meijer,"US Congressman",WEC,"Wisconsin Ener",24002,Sell,"Traded $3,003 to $45,000 ."
2021-01-28,Peter,Meijer,"US Congressman",V,"Visa Inc",24002,Sell,"Traded $3,003 to $45,000 ."
2021-01-28,Peter,Meijer,"US Congressman",WMT,"Walmart Inc",16001,Sell,"Traded $2,002 to $30,000 ."
2021-01-28,Peter,Meijer,"US Congressman",MCO,"Moody's Corp",16001,Sell,"Traded $2,002 to $30,000 ."
2021-01-28,Peter,Meijer,"US Congressman",MRK,"Merck & Compan",16001,Sell,"Traded $2,002 to $30,000 ."
2021-01-28,Diana,Harshbarger,"US Congressman",TMUS,"T-Mobile US",16000,Buy,"Traded $2,001 To $30,000 "
2021-01-28,Peter,Meijer,"US Congressman",BABAF,"Alibaba Group ",8000,Sell,"Traded $1,001 to $15,000 ."
2021-01-28,Peter,Meijer,"US Congressman",VRTX,"Vertex Pharmac",8000,Sell,"Traded $1,001 to $15,000 ."
2021-01-28,Peter,Meijer,"US Congressman",KHC,"Kraft Heinz Co",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",TSLA,"Tesla Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",RTX,"Rtx Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2021-01-28,Peter,Meijer,"US Congressman",PG,"Procter & Gamb",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",NOC,"Northrop Grumm",8000,Sell,"As ADR/ADS But Shown As Ord Equivalent. Traded $1,001 To $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",MSFT,"Microsoft Corp",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",MA,"Mastercard Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2021-01-28,Peter,Meijer,"US Congressman",HUM,"Humana Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",META,"Meta Platforms",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",EW,"Edwards Lifesc",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",KO,"Coca-Cola Comp",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",CMS,"Cms Energy Cor",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",CLX,"Clorox Company",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",ATO,"Atmos Energy C",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",AMZN,"Amazon.com Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2021-01-28,Peter,Meijer,"US Congressman",GOOGL,"Alphabet Cl A",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",APD,"Air Products a",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Peter,Meijer,"US Congressman",ADBE,"Adobe Systems ",8000,Sell,"Traded $1,001 to $15,000 ."
2021-01-28,Lois,Frankel,"US Congressman",PPG,"PPG Industries",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Patrick,Toomey,"US Senator",GME,"Gamestop Corp",8000,Sell,"By Minor Child. Traded $1,001 To $15,000 "
2021-01-28,Susie,Lee,"US Congressman",GO,"Grocery Outlet",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Susie,Lee,"US Congressman",FTNT,"Fortinet Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,Susie,Lee,"US Congressman",DELL,"Dell Technolog",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,James,Langevin,"US Congressman",PYPL,"Paypal Holding",8000,Sell,"Sale Of Call Options With Strike Price $247.50 And Expiry 5-February-2021. Traded $1,001 To $50,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-01-28,John,Yarmuth,"US Congressman",V,"Visa Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-01-28,John,Yarmuth,"US Congressman",MA,"Mastercard Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2021-01-28,John,Yarmuth,"US Congressman",COST,"Costco Wholesa",8000,Sell,"Traded $1,001 to $15,000 "
