Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2023-11-30,Shelley,Capito,"US Senator",MSFT,"Microsoft Corp",8000,Sell,"By Spouse. Traded $1,001 To $15,000 "
2023-11-30,Carol,Miller,"US Congressman",IGSB,"Short-Term Cor",3287,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2023-11-29,Peter,Sessions,"US Congressman",T,"AT&T Inc",2445,Sell,"Price not reported, valued at close. By Spouse."
2023-11-29,John,Boozman,"US Senator",SHY,"1-3 Year Treas",8000,Buy,"Traded $1,001 to $15,000 ."
2023-11-29,Joshua,Gottheimer,"US Congressman",GOOGL,"Alphabet Cl A",8000,Sell,"Traded $1,001 to $15,000 ."
2023-11-29,Sheldon,Whitehouse,"US Senator",VLTO,"Veralto Corpor",24002,Sell,"Traded $3,003 To $45,000 . By Director and Spouse."
2023-11-29,Virginia,Foxx,"US Congressman",CRT,"Cross Timbers ",8000,Buy,"Traded $1,001 to $15,000 ."
2023-11-29,David,Kustoff,"US Congressman",NVDA,"Nvidia Corp",32500,Buy,"Traded $15,001 to $50,000 ."
2023-11-28,Rohit,Khanna,"US Congressman",RF,"Regions Financ",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2023-11-28,Joshua,Gottheimer,"US Congressman",TMO,"Thermo Fisher ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-11-28,Joshua,Gottheimer,"US Congressman",PANW,"Palo Alto Netw",8000,Buy,"Traded $1,001 to $15,000 ."
2023-11-28,Joshua,Gottheimer,"US Congressman",HCA,"Hca Holdings I",8000,Sell,"Traded $1,001 to $15,000 ."
2023-11-28,Rohit,Khanna,"US Congressman",PFE,"Pfizer Inc",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2023-11-28,Carol,Miller,"US Congressman",CORP,"Invst Grade Co",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2023-11-28,Virginia,Foxx,"US Congressman",CRT,"Cross Timbers ",8000,Buy,"Traded $1,001 to $15,000 ."
2023-11-28,Virginia,Foxx,"US Congressman",AAIC,"Arlington Asse",8000,Buy,"Traded $1,001 to $15,000 ."
2023-11-27,Shelley,Capito,"US Senator",RYDAF,"Shell Plc",8000,Sell,"By Spouse.Traded $1,001 To $15,000 . Is ADR/ADS, but shown as ord equivalent."
2023-11-27,Shelley,Capito,"US Senator",WFC,"Wells Fargo & ",8000,Sell,"By Spouse.Traded $1,001 To $15,000 ."
2023-11-27,Rohit,Khanna,"US Congressman",RF,"Regions Financ",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2023-11-27,Joshua,Gottheimer,"US Congressman",ROK,"Rockwell Autom",8000,Sell,"Traded $1,001 to $15,000 ."
2023-11-27,Joshua,Gottheimer,"US Congressman",PWR,"Quanta Service",8000,Buy,"Traded $1,001 to $15,000 ."
2023-11-22,Michael,Mccaul,"US Congressman",FN,Fabrinet,32500,Sell,"By Dependent Child.Traded $15,001 to $50,000 ."
