Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2022-06-30,Kevin,Hern,"US Congressman",DVN,"Devon Energy C",40501,"Div Re","Traded $16,002 To $65,000 "
2022-06-30,Lindsey,Graham,"US Senator",VTIP,"Short-Term Inf",32500,Sell,"Traded $15,001 to $50,000 "
2022-06-30,Lindsey,Graham,"US Senator",IBDQ,"Dec 2025 Term ",32500,Buy,"Traded $15,001 to $50,000 "
2022-06-30,Rohit,Khanna,"US Congressman",HIG,"Hartford Finan",16001,Sell,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2022-06-30,Rohit,Khanna,"US Congressman",T,"AT&T Inc",8000,Sell,"By Spouse, Traded $1,001 To $15,000 ."
2022-06-30,Shelley,Capito,"US Senator",MMM,"3M Company",8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
2022-06-30,Rohit,Khanna,"US Congressman",CRI,"Carter's Inc",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2022-06-30,Rohit,Khanna,"US Congressman",VRTX,"Vertex Pharmac",8000,Buy,"By Dependent Child.Traded $1,001 To $15,000 ."
2022-06-30,Lindsey,Graham,"US Senator",IBDO,"Dec 2023 Term ",8000,Buy,"Traded $1,001 to $15,000 "
2022-06-29,Virginia,Foxx,"US Congressman",MO,"Altria Group",175000,Sell,"Traded $100,001 to $250,000 "
2022-06-29,Thomas,Tuberville,"US Senator",PYPL,"Paypal Holding",75000,Buy,"Traded $50,001 to $100,000 "
2022-06-29,Michael,Mccaul,"US Congressman",DOV,"Dover Corp",65001,Sell,"By Spouse & Dependent Child.Traded $30,002 To $100,000 "
2022-06-29,Rohit,Khanna,"US Congressman",MRK,"Merck & Compan",40501,Sell,"By Spouse & Dependent Child. Traded $16,002  to $65,000 ."
2022-06-29,Michael,Burgess,"US Congressman",AMZN,"Amazon.com Inc",21481,Buy,"Price Not Reported."
2022-06-29,Michael,Mccaul,"US Congressman",FERG,"Ferguson Plc",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 To $30,000 ."
2022-06-29,Michael,Mccaul,"US Congressman",SSD,"Simpson Manufa",16001,Buy,"By Spouse & Dependent Child.Traded $2,002 To $30,000 "
2022-06-29,Michael,Mccaul,"US Congressman",AVY,"Avery Dennison",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2022-06-29,Michael,Mccaul,"US Congressman",CSL,"Carlisle Compa",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2022-06-29,Michael,Mccaul,"US Congressman",CDW,"CDW Corp",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 To $30,000 "
2022-06-29,Joshua,Gottheimer,"US Congressman",DGEAF,"Diageo Plc New",8000,Sell,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
2022-06-29,Lois,Frankel,"US Congressman",SWK,"Stanley Black ",8000,Sell,"Traded $1,001 to $15,000 ."
2022-06-29,Alan,Lowenthal,"US Congressman",UBER,"Uber Technolog",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2022-06-29,Rohit,Khanna,"US Congressman",HCA,"Hca Holdings I",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-06-29,Rohit,Khanna,"US Congressman",CRI,"Carter's Inc",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
