Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-12-30,Nancy,Pelosi,"US Congressman",AAPL,"Apple Inc",1069200,Sell,"By Spouse. Price Not Reported."
2021-12-30,James,Langevin,"US Congressman",GNRC,"Generac Holdin",175000,Sell,"Traded $100,001 to $250,000 "
2021-12-30,Kevin,Hern,"US Congressman",DVN,"Devon Energy C",40501,"Div Re","Traded $16,002 To $65,000 ."
2021-12-30,Deborah,Ross,"US Congressman",NEO,"Neogenomics In",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-12-30,Deborah,Ross,"US Congressman",META,"Meta Platforms",32500,Buy,"By Spouse. Purchase Of Call Options With Strike Price $340 And Expiry 20-Jan-23. Traded $15,001 To $50,000 "
2021-12-30,Deborah,Ross,"US Congressman",AAPL,"Apple Inc",32500,Buy,"Purchase Of Call Options With Strike Price $180 And Expiry 20-Jan-23. By Spouse. Traded $15,001 To $50,000 ."
2021-12-30,Deborah,Ross,"US Congressman",GM,"General Motors",8000,Buy,"By Spouse. Purchase Of Call Options With Strike Price $50 And Expiry 20-Jan-23. Traded $1,001 To $15,000 "
2021-12-29,Mark,Green,"US Congressman",PAA,"Plains All Ame",750000,Buy,"Traded $500,001 to $1,000,000 "
2021-12-29,Mark,Green,"US Congressman",ENLC,"Enlink Midstre",750000,Buy,"Traded $500,001 to $1,000,000 "
2021-12-29,Mark,Green,"US Congressman",AM,"Antero Midstre",750000,Buy,"Traded $500,001 to $1,000,000 "
2021-12-29,Mark,Green,"US Congressman",USAC,"USA Compressio",375000,Buy,"Traded $250,001 to $500,000 ."
2021-12-29,Mark,Green,"US Congressman",PBFX,"PBF Logistics ",375000,Buy,"Traded $250,001 to $500,000 "
2021-12-29,"William Francis",Hagerty,"US Senator",PNFP,"Pinnacle Finl ",175000,Sell,"Traded $100,001 to $250,000 "
2021-12-29,"William Francis",Hagerty,"US Senator",NS,"Nustar Energy ",75000,Sell,"Traded $50,001 to $100,000 ."
2021-12-29,"William Francis",Hagerty,"US Senator",CCEP,"Coca-Cola Euro",75000,Sell,"Traded $50,001 to $100,000 "
2021-12-29,"William Francis",Hagerty,"US Senator",BKEP,"Blueknight Ene",32500,Sell,"Traded $15,001 to $50,000 "
2021-12-29,"William Francis",Hagerty,"US Senator",ENVA,"Enova Internat",32500,Sell,"Traded $15,001 to $50,000 ."
2021-12-29,Thomas,Tuberville,"US Senator",PYPL,"Paypal Holding",32500,Sell,"Sale Of Short Sale Option With Strike Price $185 And Expiry 19-September-2022. Traded $15,001 To $50,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-12-29,Marie,Newman,"US Congressman",BBY,"Best Buy Compa",32500,Buy,"By Spouse. Traded $15,001 to $50,000 ."
2021-12-29,"William Francis",Hagerty,"US Senator",CLDT,"Chatham Lodgin",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-29,Joshua,Gottheimer,"US Congressman",META,"Meta Platforms",8000,Sell,"Traded $1,001 to $15,000 ."
2021-12-29,Daniel,Crenshew,"US Congressman",TSLA,"Tesla Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-29,Thomas,Tuberville,"US Senator",QQQ,"Nasdaq QQQ Inv",8000,Buy,"Purchase Of Put Options With Strike Price $285 And Expiry 18-march-2022. Traded $1,001 To $15,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-12-28,"William Francis",Hagerty,"US Senator",RNR,"Renaissancere ",375000,Sell,"Traded $250,001 to $500,000 "
2021-12-28,Michael,Mccaul,"US Congressman",LIN,"Linde Plc",172502,Buy,"By Spouse & Dependent Child. Traded $95,004 To $250,000 ."
2021-12-28,Michael,Mccaul,"US Congressman",GPN,"Global Payment",146003,Buy,"By Spouse & Dependent Child. Traded $62,006 To $230,000 ."
2021-12-28,Michael,Mccaul,"US Congressman",FI,"Fiserv Inc",146003,Buy,"By Spouse & Dependent Child. Traded $62,006 To $230,000 ."
2021-12-28,Michael,Mccaul,"US Congressman",LIN,"Linde Plc",107501,Sell,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
2021-12-28,"William Francis",Hagerty,"US Senator",SBNY,"Signature Bank",97502,Sell,"By Child. Traded $45,003 To $150,000 "
2021-12-28,Michael,Mccaul,"US Congressman",FI,"Fiserv Inc",81002,Sell,"By Spouse & Dependent Child. Traded $32,004 to $130,000 ."
2021-12-28,Thomas,Suozzi,"US Congressman",SPOT,"Spotify Techno",75000,Sell,"Traded $50,001 to $100,000 ."
2021-12-28,Michael,Mccaul,"US Congressman",GPN,"Global Payment",65001,Sell,"By Spouse And Dependent Child. Traded $30,002 To $100,000 ."
2021-12-28,Michael,Mccaul,"US Congressman",GPN,"Global Payment",65001,Sell,"By Spouse And Dependent Child. Traded $30,002 To $100,000 ."
2021-12-28,"William Francis",Hagerty,"US Senator",DDOG,"Datadog Inc Cl",32500,Sell,"Traded $15,001 to $50,000 "
2021-12-28,Thomas,Suozzi,"US Congressman",SPLK,"Splunk Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2021-12-28,Deborah,Ross,"US Congressman",DIS,"Walt Disney Co",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-12-28,Deborah,Ross,"US Congressman",ALB,"Albemarle Corp",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2021-12-28,Shelley,Capito,"US Senator",VZ,"Verizon Commun",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,Joshua,Gottheimer,"US Congressman",AFRM,"Affirm Holding",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",SHW,Sherwin-Willia,8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",PFE,"Pfizer Inc",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",LIN,"Linde Plc",8000,Sell,"Traded $1,001 to $15,000 ."
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",JPM,"JP Morgan Chas",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",IFF,"International ",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",INTC,"Intel Corp",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",FITB,"Fifth Third Ba",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",CSL,"Carlisle Compa",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-28,"Robert 'Bobby'",Scott,"US Congressman",APD,"Air Products a",8000,Sell,"Traded $1,001 to $15,000 "
2021-12-27,Michael,Mccaul,"US Congressman",WFC,"Wells Fargo & ",350001,Sell,"By Spouse & Dependent Child. Traded $200,002 To $500,000 ."
2021-12-27,Michael,Mccaul,"US Congressman",C,"Citigroup Inc",250001,Buy,"By Spouse & Dipendent Child. Traded $150,002 To $350,000 ."
2021-12-27,David,Mckinley,"US Congressman",SYY,"Sysco Corp",75000,Sell,"Traded $50,001 to $100,000 "
2021-12-27,David,Mckinley,"US Congressman",ELV,"Elevance Healt",75000,Sell,"Traded $50,001 to $100,000 ."
2021-12-27,Thomas,Tuberville,"US Senator",ECOM,Channeladvisor,32500,Sell,"Sale Of Short Sale Options With Strike Price $25 And Expiry 17-June-2022. Traded $15,001 To $50,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2021-12-27,Lori,"Loureiro Trahan","US Congressman",GE,"GE Aerospace",8000,Sell,"Spouse. Traded $1,001 to $15,000 ."
