Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2020-03-01,David,Roe,"US Congressman",CMCSA,"Comcast Corp A",8000,Sell,"Traded $1,001 to $15,000 "
2020-03-01,Donna,Shalala,"US Congressman",TGNA,"Tegna Inc",8000,Sell,"Traded $1,001 to $15,000 "
2020-02-29,Jacklyn,Rosen,"US Senator",TT,"Trane Technolo",8000,"Transfer In","Shares Exchanged. Traded $20,000 to $125,000 "
2020-02-28,Richard,Allen,"US Congressman",SBUX,"Starbucks Corp",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2020-02-28,Richard,Allen,"US Congressman",INTU,"Intuit Inc",32500,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2020-02-28,Nancy,Pelosi,"US Congressman",MSFT,"Microsoft Corp",175000,Buy,"By Spouse.Purchase Of Call Options With Strike Price $130 And Expiry 3/19/2021. Traded $100,001 To $250.000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2020-02-28,Tomasz,Malinowski,"US Congressman",ANIK,"Anika Therapeu",8000,Buy,"Traded $1,001 to $15,000 ."
2020-02-28,Rohit,Khanna,"US Congressman",GLW,"Corning Inc",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2020-02-28,Rohit,Khanna,"US Congressman",CZR,"Caesars Entert",24002,Sell,"By Spouse & Dependent Child. Traded $3,003 to $45,000 ."
2020-02-28,Rohit,Khanna,"US Congressman",PFE,"Pfizer Inc",97003,Buy,"By Spouse & Dependent Child. Traded $36,006 To $160,000 ."
2020-02-28,Rohit,Khanna,"US Congressman",DD,"Dupont Denemou",24002,Buy,"By Spouse & Dependent Child. Traded $3,003 to $45,000 ."
2020-02-28,David,Perdue,"US Senator",PFE,"Pfizer Inc",73000,Buy,"Traded $31,001 to $115,000 "
2020-02-28,David,Perdue,"US Senator",DVN,"Devon Energy C",8000,Buy,"Traded $1,001 to $15,000 ."
2020-02-28,David,Perdue,"US Senator",DD,"Dupont Denemou",16000,Buy,"Traded $2,001 To $30,000 ."
2020-02-28,David,Perdue,"US Senator",CZR,"Caesars Entert",16000,Sell,"Traded $2,001 To $30,000 "
2020-02-28,David,Perdue,"US Senator",GM,"General Motors",8000,Buy,"Traded $1,001 to $15,000 "
2020-02-28,Dean,Phillips,"US Congressman",ABT,"Abbott Laborat",8000,Buy,"Traded $1,001 to $15,000 "
2020-02-28,Francis,Rooney,"US Congressman",ABBV,"Abbvie Inc",8000,Buy,"Traded $1,001 to $15,000 "
2020-02-28,Lois,Frankel,"US Congressman",OLLI,"Ollies Bargain",8000,Buy,"Traded $1,001 to $15,000 "
2020-02-28,Lois,Frankel,"US Congressman",IT,"Gartner Inc",8000,Buy,"Traded $1,001 to $15,000 "
2020-02-28,Richard,Allen,"US Congressman",GOOGL,"Alphabet Cl A",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2020-02-28,David,Roe,"US Congressman",VLO,"Valero Energy ",8000,Sell,"Traded $1,001 to $15,000 "
2020-02-28,David,Roe,"US Congressman",RGA,"Reinsurance Gr",8000,Sell,"Traded $1,001 to $15,000 "
2020-02-28,David,Roe,"US Congressman",DOW,"Dow Inc",8000,Sell,"Traded $1,001 to $15,000 "
2020-02-28,David,Roe,"US Congressman",EOG,"Eog Resources",8000,Sell,"Traded $1,001 to $15,000 "
2020-02-28,David,Roe,"US Congressman",PG,"Procter & Gamb",8000,Buy,"Traded $1,001 to $15,000 "
2020-02-28,David,Roe,"US Congressman",NEE,"Nextera Energy",8000,Buy,"Traded $1,001 to $15,000 "
