Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2020-11-30,Kenneth,Conaway,"US Congressman",LUV,"Southwest Airl",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-30,Kenneth,Conaway,"US Congressman",DGRO,"Dividend Growt",32500,Buy,"Traded $15,001 to $50,000 ."
2020-11-30,Kenneth,Conaway,"US Congressman",DRI,"Darden Restaur",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-30,Kenneth,Conaway,"US Congressman",AAL,"American Airli",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-30,Douglas,Lamborn,"US Congressman",NTAP,"Netapp Inc",16001,Buy,"By Politician Under IRA & Spouse. Traded $2,002 To $30,000 ."
2020-11-30,Michael,Mccaul,"US Congressman",BDX,"Becton Dickins",150001,Sell,"By Spouse & Dependent Child. Traded $100,002 To $200,000 ."
2020-11-30,Tomasz,Malinowski,"US Congressman",GFN,"General Financ",8000,Sell,"Traded $1,001 to $15,000 ."
2020-11-30,Lois,Frankel,"US Congressman",POR,"Portland Gener",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-30,Lois,Frankel,"US Congressman",FLR,"Fluor Corp",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-30,David,Roe,"US Congressman",CCOI,"Cogent Comm Hl",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-30,David,Roe,"US Congressman",CSCO,"Cisco Systems ",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-30,David,Roe,"US Congressman",DDOG,"Datadog Inc Cl",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-30,Patrick,Toomey,"US Senator",AIV,"Apartment Inve",8000,"Div Re","Traded $1,001 to $15,000 "
2020-11-30,James,Hill,"US Congressman",SWN,"Southwestern E",8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
2020-11-30,James,Hill,"US Congressman",FVD,"Value Line Div",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2020-11-30,James,Hill,"US Congressman",XOM,"Exxon Mobil Co",40501,Sell,"By Spouse. Traded $16,002 To $65,000 "
2020-11-30,James,Hill,"US Congressman",T,"AT&T Inc",8000,Sell,"By Dependent Child. Traded $1,001 To $15,000 "
2020-11-29,Kenny,Marchant,"US Congressman",AZO,Autozone,32500,Sell,"Traded $15,001 to $50,000 "
2020-11-29,Kenny,Marchant,"US Congressman",JNJ,"Johnson & John",32500,Sell,"Traded $15,001 to $50,000 "
2020-11-29,Kenny,Marchant,"US Congressman",TSN,"Tyson Foods",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-29,Kenny,Marchant,"US Congressman",CVX,"Chevron Corp",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-29,Walter,Schrader,"US Congressman",XLV,"S&P 500 Health",8000,Sell,"Traded $1,001 to $15,000 "
2020-11-29,Michael,Mccaul,"US Congressman",NFG,"National Fuel ",40501,Buy,"By Spouse & Dependent Child. Traded $16,002 to $65,000 ."
2020-11-27,Michael,Mccaul,"US Congressman",BDX,"Becton Dickins",150001,Sell,"By Spouse & Dependent Child. Traded $100,002 To $200,000 ."
2020-11-27,Michael,Mccaul,"US Congressman",BSX,"Boston Scienti",65001,Buy,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2020-11-27,Michael,Mccaul,"US Congressman",FTNT,"Fortinet Inc",107501,Buy,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
2020-11-27,Gilbert,Cisneros,"US Congressman",V,"Visa Inc",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-27,Gilbert,Cisneros,"US Congressman",MA,"Mastercard Inc",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-27,Rohit,Khanna,"US Congressman",A,"Agilent Techno",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2020-11-27,David,Roe,"US Congressman",CVX,"Chevron Corp",16001,Sell,"Traded $2,002 to $30,000 ."
2020-11-27,David,Roe,"US Congressman",CSCO,"Cisco Systems ",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-27,Robert,Gibbs,"US Congressman",BRKR,"Bruker Corp",8000,Sell,"Traded $1,001 to $15,000 "
2020-11-25,Richard,Larsen,"US Congressman",UNP,"Union Pacific ",8000,Buy,"Traded $1,001 to $15,000 ."
2020-11-25,Richard,Larsen,"US Congressman",BMY,"Bristol-Myers ",8000,Buy,"Traded $1,001 to $15,000 ."
2020-11-25,Thomas,Suozzi,"US Congressman",FCEL,"Fuelcell Energ",175000,Buy,"Traded $100,001 to $250,000 "
2020-11-25,Kenny,Marchant,"US Congressman",CVX,"Chevron Corp",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-25,Kenny,Marchant,"US Congressman",TSN,"Tyson Foods",32500,Buy,"Traded $15,001 to $50,000 "
2020-11-25,Kenny,Marchant,"US Congressman",JNJ,"Johnson & John",32500,Sell,"Traded $15,001 to $50,000 "
2020-11-25,Kenny,Marchant,"US Congressman",AZO,Autozone,32500,Sell,"Traded $15,001 to $50,000 "
2020-11-25,Kenny,Marchant,"US Congressman",UBER,"Uber Technolog",8000,Buy,"Under IRA. Traded $1,001 To $15,000 ."
2020-11-25,Michael,Mccaul,"US Congressman",ZTS,"Zoetis Inc Cl ",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2020-11-25,Michael,Mccaul,"US Congressman",FTNT,"Fortinet Inc",107501,Buy,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
2020-11-25,Walter,Schrader,"US Congressman",C,"Citigroup Inc",8000,Sell,"Traded $1,001 to $15,000 "
2020-11-25,Walter,Schrader,"US Congressman",XLV,"S&P 500 Health",8000,Sell,"Traded $1,001 to $15,000 "
2020-11-25,Walter,Schrader,"US Congressman",AMT,"American Tower",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-25,Walter,Schrader,"US Congressman",SCHW,"The Charles Sc",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-25,Walter,Schrader,"US Congressman",APD,"Air Products a",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-25,Gilbert,Cisneros,"US Congressman",VRSK,"Verisk Analyti",8000,Sell,"Traded $1,001 to $15,000 "
2020-11-25,Gilbert,Cisneros,"US Congressman",LNT,"Alliant Energy",8000,Buy,"Traded $1,001 to $15,000 "
2020-11-25,David,Roe,"US Congressman",CVX,"Chevron Corp",8000,Sell,"Traded $1,001 to $15,000 "
